                                                                                                                                                      23 Oct 2022 15:29:12
Civil Air Patrol Use Only
Facility-Xian-Sensor-Sensor1-To-Satellite-gps-01_svn63-Sensor-Sensor2, Sensor-Sensor3, Sensor-Sensor4, Sensor-Sensor5, Sensor-Sensor6:  Inview Azimuth, Elevation, & Range


Sensor1-To-Sensor2 - AER reported in the object's default AER frame
-------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km) 
                  ------------------------    -------------    ---------------    ------------
                  14 Sep 2022 17:47:06.873          161.712             38.000    21980.661728
                  14 Sep 2022 17:48:06.000          161.501             38.465    21943.923800
                  14 Sep 2022 17:49:06.000          161.284             38.937    21906.896426
                  14 Sep 2022 17:50:06.000          161.064             39.411    21870.128750
                  14 Sep 2022 17:51:06.000          160.840             39.884    21833.625879
                  14 Sep 2022 17:52:06.000          160.613             40.359    21797.392905
                  14 Sep 2022 17:53:06.000          160.381             40.834    21761.434899
                  14 Sep 2022 17:54:06.000          160.146             41.309    21725.756914
                  14 Sep 2022 17:55:06.000          159.906             41.785    21690.363983
                  14 Sep 2022 17:56:06.000          159.663             42.261    21655.261116
                  14 Sep 2022 17:57:06.000          159.415             42.738    21620.453300
                  14 Sep 2022 17:58:06.000          159.162             43.215    21585.945498
                  14 Sep 2022 17:59:06.000          158.904             43.692    21551.742647
                  14 Sep 2022 18:00:06.000          158.641             44.170    21517.849656
                  14 Sep 2022 18:01:06.000          158.373             44.647    21484.271407
                  14 Sep 2022 18:02:06.000          158.100             45.125    21451.012752
                  14 Sep 2022 18:03:06.000          157.821             45.603    21418.078512
                  14 Sep 2022 18:04:06.000          157.536             46.081    21385.473475
                  14 Sep 2022 18:05:06.000          157.245             46.559    21353.202397
                  14 Sep 2022 18:06:06.000          156.947             47.037    21321.269996
                  14 Sep 2022 18:07:06.000          156.643             47.514    21289.680956
                  14 Sep 2022 18:08:06.000          156.332             47.992    21258.439923
                  14 Sep 2022 18:09:06.000          156.013             48.469    21227.551503
                  14 Sep 2022 18:10:06.000          155.688             48.945    21197.020262
                  14 Sep 2022 18:11:06.000          155.354             49.421    21166.850724
                  14 Sep 2022 18:12:06.000          155.012             49.897    21137.047370
                  14 Sep 2022 18:13:06.000          154.662             50.372    21107.614636
                  14 Sep 2022 18:14:06.000          154.304             50.846    21078.556911
