                                                                           8 Sep 2023 20:44:30
Civil Air Patrol Use Only
Facility-Xian-To-Satellite-gps-svn56:  Inview Azimuth, Elevation, & Range


Xian-To-gps-svn56 - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km) 
                  ------------------------    -------------    ---------------    ------------
                  14 Sep 2022 11:56:15.822          205.638             30.000    22576.672247
                  14 Sep 2022 12:01:35.000          206.450             32.461    22360.337309
                  14 Sep 2022 12:06:55.000          207.348             34.949    22149.829924
                  14 Sep 2022 12:12:15.000          208.337             37.457    21946.288246
                  14 Sep 2022 12:17:35.000          209.423             39.982    21750.266524
                  14 Sep 2022 12:22:55.000          210.616             42.521    21562.296504
                  14 Sep 2022 12:28:15.000          211.928             45.072    21382.884069
                  14 Sep 2022 12:33:35.000          213.374             47.630    21212.505464
                  14 Sep 2022 12:38:55.000          214.972             50.193    21051.603999
                  14 Sep 2022 12:44:15.000          216.745             52.755    20900.586628
                  14 Sep 2022 12:49:35.000          218.724             55.311    20759.820934
                  14 Sep 2022 12:54:55.000          220.947             57.855    20629.631979
                  14 Sep 2022 13:00:15.000          223.466             60.378    20510.299827
                  14 Sep 2022 13:05:35.000          226.348             62.871    20402.057374
                  14 Sep 2022 13:10:55.000          229.686             65.321    20305.088386
                  14 Sep 2022 13:16:15.000          233.603             67.711    20219.526267
                  14 Sep 2022 13:21:35.000          238.269             70.017    20145.453327
                  14 Sep 2022 13:26:55.000          243.914             72.207    20082.900410
                  14 Sep 2022 13:32:15.000          250.839             74.234    20031.847305
                  14 Sep 2022 13:37:35.000          259.408             76.032    19992.223702
                  14 Sep 2022 13:42:55.000          269.960             77.508    19963.910575
                                   14 Sep 2022 13:48:15.000          282.585             78.547    19946.742265
                                   14 Sep 2022 13:53:35.000          296.778             79.037    19940.509014
                                   14 Sep 2022 13:58:55.000          311.327             78.921    19944.959902
                                   14 Sep 2022 14:04:15.000          324.841             78.233    19959.806246
                                   14 Sep 2022 14:09:35.000          336.477             77.080    19984.725290
                                   14 Sep 2022 14:14:55.000          346.096             75.590    20019.364144
                  14 Sep 2022 14:20:15.000          353.966             73.870    20063.343918
                  14 Sep 2022 14:25:35.000            0.456             72.002    20116.263951
                  14 Sep 2022 14:30:55.000            5.898             70.040    20177.706029
                  14 Sep 2022 14:36:15.000           10.554             68.021    20247.238655
                  14 Sep 2022 14:41:35.000           14.619             65.973    20324.421136
                  14 Sep 2022 14:46:55.000           18.236             63.912    20408.807569
                  14 Sep 2022 14:52:15.000           21.509             61.851    20499.950538
                  14 Sep 2022 14:57:35.000           24.517             59.800    20597.404738
                  14 Sep 2022 15:02:55.000           27.316             57.765    20700.730172
                  14 Sep 2022 15:08:15.000           29.952             55.751    20809.495140
                  14 Sep 2022 15:13:35.000           32.457             53.761    20923.278905
                  14 Sep 2022 15:18:55.000           34.857             51.798    21041.674091
                  14 Sep 2022 15:24:15.000           37.172             49.865    21164.288617
                  14 Sep 2022 15:29:35.000           39.420             47.961    21290.747617
                  14 Sep 2022 15:34:55.000           41.612             46.088    21420.694778
                  14 Sep 2022 15:40:15.000           43.758             44.246    21553.793533
                  14 Sep 2022 15:45:35.000           45.868             42.435    21689.727955
                  14 Sep 2022 15:50:55.000           47.947             40.656    21828.203395
                  14 Sep 2022 15:56:15.000           50.001             38.907    21968.946878
                  14 Sep 2022 16:01:35.000           52.034             37.188    22111.707278
                  14 Sep 2022 16:06:55.000           54.051             35.499    22256.255292
                  14 Sep 2022 16:12:15.000           56.052             33.837    22402.383222
