                                                                          24 Dec 2022 11:44:47
Civil Air Patrol Use Only
Facility-Xian-Sensor-Sensor1-To-Satellite-gps-svn73:  Inview Azimuth, Elevation, & Range


Sensor1-To-gps-svn73 - AER reported in the object's default AER frame
---------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km) 
                  ------------------------    -------------    ---------------    ------------
                  14 Sep 2022 11:13:33.856          201.009             38.000    21973.581495
                  14 Sep 2022 11:14:33.000          201.117             38.471    21938.047501
                  14 Sep 2022 11:15:33.000          201.229             38.950    21902.249347
                  14 Sep 2022 11:16:33.000          201.343             39.430    21866.706727
                  14 Sep 2022 11:17:33.000          201.459             39.910    21831.423168
                  14 Sep 2022 11:18:33.000          201.578             40.392    21796.402167
                  14 Sep 2022 11:19:33.000          201.699             40.874    21761.647195
                  14 Sep 2022 11:20:33.000          201.823             41.357    21727.161693
                  14 Sep 2022 11:21:33.000          201.948             41.840    21692.949073
                  14 Sep 2022 11:22:33.000          202.077             42.325    21659.012716
                  14 Sep 2022 11:23:33.000          202.208             42.810    21625.355972
                  14 Sep 2022 11:24:33.000          202.341             43.296    21591.982159
                  14 Sep 2022 11:25:33.000          202.477             43.782    21558.837999
                  14 Sep 2022 11:26:33.000          202.616             44.269    21526.039303
                  14 Sep 2022 11:27:33.000          202.757             44.757    21493.533301
                  14 Sep 2022 11:28:33.000          202.901             45.245    21461.323175
                  14 Sep 2022 11:29:33.000          203.047             45.735    21429.412072
                  14 Sep 2022 11:30:33.000          203.197             46.225    21397.803100
                  14 Sep 2022 11:31:33.000          203.349             46.715    21366.499330
                  14 Sep 2022 11:32:33.000          203.504             47.207    21335.503796
                  14 Sep 2022 11:33:33.000          203.662             47.698    21304.819490
                  14 Sep 2022 11:34:33.000          203.823             48.191    21274.449369
                  14 Sep 2022 11:35:33.000          203.987             48.684    21244.396342
                  14 Sep 2022 11:36:33.000          204.154             49.177    21214.663285
                  14 Sep 2022 11:37:33.000          204.325             49.671    21185.253026
                  14 Sep 2022 11:38:33.000          204.498             50.166    21156.168352
                  14 Sep 2022 11:39:33.000          204.675             50.661    21127.412005
                  14 Sep 2022 11:40:33.000          204.856             51.156    21098.986686
                  14 Sep 2022 11:41:33.000          205.040             51.652    21070.895046
                  14 Sep 2022 11:42:33.000          205.227             52.149    21043.139696
                  14 Sep 2022 11:43:33.000          205.419             52.646    21015.723195
                  14 Sep 2022 11:44:33.000          205.614             53.143    20988.648057
                  14 Sep 2022 11:45:33.000          205.813             53.641    20961.916750
                  14 Sep 2022 11:46:33.000          206.016             54.139    20935.531690
                  14 Sep 2022 11:47:33.000          206.223             54.637    20909.495246
                  14 Sep 2022 11:48:33.000          206.434             55.136    20883.809737
                  14 Sep 2022 11:49:33.000          206.650             55.635    20858.477431
                  14 Sep 2022 11:50:33.000          206.870             56.134    20833.500545
                  14 Sep 2022 11:51:33.000          207.095             56.634    20808.881242
                  14 Sep 2022 11:52:33.000          207.325             57.133    20784.621638
                  14 Sep 2022 11:53:33.000          207.560             57.634    20760.723792
                  14 Sep 2022 11:54:33.000          207.800             58.134    20737.189709
                  14 Sep 2022 11:55:33.000          208.046             58.634    20714.021343
                  14 Sep 2022 11:56:33.000          208.297             59.135    20691.220591
                  14 Sep 2022 11:57:33.000          208.554             59.635    20668.789296
                  14 Sep 2022 11:58:33.000          208.816             60.136    20646.729244
                  14 Sep 2022 11:59:33.000          209.086             60.637    20625.042167
                  14 Sep 2022 12:00:33.000          209.361             61.138    20603.729739
                  14 Sep 2022 12:01:33.000          209.644             61.639    20582.793577
                  14 Sep 2022 12:02:33.000          209.933             62.140    20562.235241
                  14 Sep 2022 12:03:33.000          210.231             62.641    20542.056234
                  14 Sep 2022 12:04:33.000          210.535             63.141    20522.257998
                  14 Sep 2022 12:05:33.000          210.849             63.642    20502.841918
                  14 Sep 2022 12:06:33.000          211.170             64.143    20483.809321
                  14 Sep 2022 12:07:33.000          211.501             64.643    20465.161473
                  14 Sep 2022 12:08:33.000          211.841             65.143    20446.899581
                  14 Sep 2022 12:09:33.000          212.191             65.643    20429.024792
                  14 Sep 2022 12:10:33.000          212.552             66.142    20411.538194
                  14 Sep 2022 12:11:33.000          212.923             66.642    20394.440810
                  14 Sep 2022 12:12:33.000          213.307             67.140    20377.733607
                  14 Sep 2022 12:13:33.000          213.703             67.639    20361.417491
                  14 Sep 2022 12:14:33.000          214.112             68.137    20345.493303
                  14 Sep 2022 12:15:33.000          214.535             68.634    20329.961826
                  14 Sep 2022 12:16:33.000          214.973             69.131    20314.823780
                  14 Sep 2022 12:17:33.000          215.426             69.627    20300.079825
                  14 Sep 2022 12:18:33.000          215.897             70.122    20285.730558
                  14 Sep 2022 12:19:33.000          216.386             70.617    20271.776514
                  14 Sep 2022 12:20:33.000          216.895             71.111    20258.218167
                  14 Sep 2022 12:21:33.000          217.424             71.604    20245.055929
                  14 Sep 2022 12:22:33.000          217.975             72.095    20232.290150
                  14 Sep 2022 12:23:33.000          218.551             72.586    20219.921118
                  14 Sep 2022 12:24:33.000          219.153             73.076    20207.949060
                  14 Sep 2022 12:25:33.000          219.783             73.564    20196.374141
                  14 Sep 2022 12:26:33.000          220.444             74.051    20185.196464
                  14 Sep 2022 12:27:33.000          221.138             74.536    20174.416070
                  14 Sep 2022 12:28:33.000          221.868             75.019    20164.032941
                  14 Sep 2022 12:29:33.000          222.638             75.501    20154.046994
                  14 Sep 2022 12:30:33.000          223.451             75.980    20144.458089
                  14 Sep 2022 12:31:33.000          224.312             76.457    20135.266023
                  14 Sep 2022 12:32:33.000          225.225             76.932    20126.470533
                  14 Sep 2022 12:33:33.000          226.196             77.403    20118.071295
                  14 Sep 2022 12:34:33.000          227.231             77.872    20110.067927
                  14 Sep 2022 12:35:33.000          228.336             78.337    20102.459984
                  14 Sep 2022 12:36:33.000          229.521             78.799    20095.246964
                  14 Sep 2022 12:37:33.000          230.795             79.256    20088.428306
                  14 Sep 2022 12:38:33.000          232.167             79.708    20082.003390
                  14 Sep 2022 12:39:33.000          233.650             80.155    20075.971537
                  14 Sep 2022 12:40:33.000          235.257             80.596    20070.332011
                  14 Sep 2022 12:41:33.000          237.006             81.030    20065.084011
                  14 Sep 2022 12:42:33.000          238.913             81.456    20060.226700
                  14 Sep 2022 12:43:33.000          241.001             81.872    20055.759165
                  14 Sep 2022 12:44:33.000          243.293             82.278    20051.680443
                  14 Sep 2022 12:45:33.000          245.816             82.672    20047.989514
                  14 Sep 2022 12:46:33.000          248.600             83.051    20044.685306
                  14 Sep 2022 12:47:33.000          251.676             83.414    20041.766690
                  14 Sep 2022 12:48:33.000          255.080             83.758    20039.232486
                  14 Sep 2022 12:49:33.000          258.844             84.079    20037.081458
                  14 Sep 2022 12:50:33.000          262.998             84.373    20035.312321
                  14 Sep 2022 12:51:33.000          267.564             84.638    20033.923734
                  14 Sep 2022 12:52:33.000          272.548             84.867    20032.914307
                  14 Sep 2022 12:53:33.000          277.934             85.057    20032.282600
                  14 Sep 2022 12:54:33.000          283.680             85.202    20032.027121
                  14 Sep 2022 12:55:33.000          289.707             85.300    20032.146333
                  14 Sep 2022 12:56:33.000          295.908             85.346    20032.638645
                  14 Sep 2022 12:57:33.000          302.154             85.341    20033.502422
                  14 Sep 2022 12:58:33.000          308.311             85.284    20034.735982
                  14 Sep 2022 12:59:33.000          314.256             85.177    20036.337594
                  14 Sep 2022 13:00:33.000          319.892             85.024    20038.305486
                  14 Sep 2022 13:01:33.000          325.151             84.829    20040.637837
                  14 Sep 2022 13:02:33.000          330.002             84.597    20043.332785
                  14 Sep 2022 13:03:33.000          334.436             84.332    20046.388424
                  14 Sep 2022 13:04:33.000          338.467             84.040    20049.802807
                  14 Sep 2022 13:05:33.000          342.120             83.724    20053.573943
                  14 Sep 2022 13:06:33.000          345.426             83.388    20057.699803
                  14 Sep 2022 13:07:33.000          348.418             83.035    20062.178317
                  14 Sep 2022 13:08:33.000          351.130             82.668    20067.007379
                  14 Sep 2022 13:09:33.000          353.595             82.288    20072.184840
                  14 Sep 2022 13:10:33.000          355.840             81.898    20077.708520
                  14 Sep 2022 13:11:33.000          357.892             81.499    20083.576198
                  14 Sep 2022 13:12:33.000          359.773             81.094    20089.785621
                  14 Sep 2022 13:13:33.000            1.503             80.681    20096.334499
                  14 Sep 2022 13:14:33.000            3.101             80.264    20103.220512
                  14 Sep 2022 13:15:33.000            4.580             79.842    20110.441305
                  14 Sep 2022 13:16:33.000            5.955             79.416    20117.994491
                  14 Sep 2022 13:17:33.000            7.237             78.987    20125.877656
                  14 Sep 2022 13:18:33.000            8.437             78.556    20134.088352
                  14 Sep 2022 13:19:33.000            9.562             78.122    20142.624105
                  14 Sep 2022 13:20:33.000           10.620             77.686    20151.482412
                  14 Sep 2022 13:21:33.000           11.619             77.248    20160.660744
                  14 Sep 2022 13:22:33.000           12.564             76.810    20170.156545
                  14 Sep 2022 13:23:33.000           13.460             76.370    20179.967236
                  14 Sep 2022 13:24:33.000           14.313             75.929    20190.090211
                  14 Sep 2022 13:25:33.000           15.125             75.488    20200.522842
                  14 Sep 2022 13:26:33.000           15.901             75.046    20211.262482
                  14 Sep 2022 13:27:33.000           16.643             74.604    20222.306457
                  14 Sep 2022 13:28:33.000           17.356             74.161    20233.652078
                  14 Sep 2022 13:29:33.000           18.040             73.719    20245.296633
                  14 Sep 2022 13:30:33.000           18.700             73.277    20257.237393
                  14 Sep 2022 13:31:33.000           19.335             72.834    20269.471611
                  14 Sep 2022 13:32:33.000           19.950             72.392    20281.996526
                  14 Sep 2022 13:33:33.000           20.544             71.951    20294.809356
                  14 Sep 2022 13:34:33.000           21.120             71.510    20307.907310
                  14 Sep 2022 13:35:33.000           21.679             71.069    20321.287579
                  14 Sep 2022 13:36:33.000           22.222             70.628    20334.947342
                  14 Sep 2022 13:37:33.000           22.751             70.189    20348.883769
                  14 Sep 2022 13:38:33.000           23.266             69.749    20363.094013
                  14 Sep 2022 13:39:33.000           23.769             69.311    20377.575223
                  14 Sep 2022 13:40:33.000           24.260             68.873    20392.324533
                  14 Sep 2022 13:41:33.000           24.740             68.436    20407.339073
                  14 Sep 2022 13:42:33.000           25.210             68.000    20422.615964
                  14 Sep 2022 13:43:33.000           25.670             67.565    20438.152317
                  14 Sep 2022 13:44:33.000           26.122             67.130    20453.945242
                  14 Sep 2022 13:45:33.000           26.565             66.696    20469.991840
                  14 Sep 2022 13:46:33.000           27.000             66.264    20486.289210
                  14 Sep 2022 13:47:33.000           27.428             65.832    20502.834448
                  14 Sep 2022 13:48:33.000           27.850             65.401    20519.624643
                  14 Sep 2022 13:49:33.000           28.264             64.971    20536.656888
                  14 Sep 2022 13:50:33.000           28.673             64.543    20553.928272
                  14 Sep 2022 13:51:33.000           29.076             64.115    20571.435882
                  14 Sep 2022 13:52:33.000           29.474             63.688    20589.176808
                  14 Sep 2022 13:53:33.000           29.867             63.262    20607.148142
                  14 Sep 2022 13:54:33.000           30.255             62.838    20625.346976
                  14 Sep 2022 13:55:33.000           30.638             62.414    20643.770405
                  14 Sep 2022 13:56:33.000           31.018             61.992    20662.415528
                  14 Sep 2022 13:57:33.000           31.393             61.571    20681.279448
                  14 Sep 2022 13:58:33.000           31.765             61.151    20700.359273
                  14 Sep 2022 13:59:33.000           32.133             60.732    20719.652117
                  14 Sep 2022 14:00:33.000           32.498             60.314    20739.155098
                  14 Sep 2022 14:01:33.000           32.860             59.897    20758.865346
                  14 Sep 2022 14:02:33.000           33.218             59.482    20778.779992
                  14 Sep 2022 14:03:33.000           33.574             59.068    20798.896179
                  14 Sep 2022 14:04:33.000           33.928             58.655    20819.211062
                  14 Sep 2022 14:05:33.000           34.279             58.243    20839.721797
                  14 Sep 2022 14:06:33.000           34.627             57.832    20860.425558
                  14 Sep 2022 14:07:33.000           34.973             57.423    20881.319527
                  14 Sep 2022 14:08:33.000           35.318             57.014    20902.400895
                  14 Sep 2022 14:09:33.000           35.660             56.608    20923.666870
                  14 Sep 2022 14:10:33.000           36.000             56.202    20945.114667
                  14 Sep 2022 14:11:33.000           36.339             55.797    20966.741517
                  14 Sep 2022 14:12:33.000           36.676             55.394    20988.544663
                  14 Sep 2022 14:13:33.000           37.011             54.992    21010.521366
                  14 Sep 2022 14:14:33.000           37.345             54.591    21032.668896
                  14 Sep 2022 14:15:33.000           37.677             54.192    21054.984541
                  14 Sep 2022 14:16:33.000           38.009             53.794    21077.465605
                  14 Sep 2022 14:17:33.000           38.338             53.397    21100.109407
                  14 Sep 2022 14:18:33.000           38.667             53.001    21122.913282
                  14 Sep 2022 14:19:33.000           38.995             52.607    21145.874583
                  14 Sep 2022 14:20:33.000           39.321             52.214    21168.990682
                  14 Sep 2022 14:21:33.000           39.647             51.822    21192.258963
                  14 Sep 2022 14:22:33.000           39.972             51.431    21215.676834
                  14 Sep 2022 14:23:33.000           40.295             51.042    21239.241720
                  14 Sep 2022 14:24:33.000           40.618             50.654    21262.951064
                  14 Sep 2022 14:25:33.000           40.940             50.267    21286.802330
                  14 Sep 2022 14:26:33.000           41.262             49.882    21310.793001
                  14 Sep 2022 14:27:33.000           41.583             49.498    21334.920578
                  14 Sep 2022 14:28:33.000           41.903             49.115    21359.182587
                  14 Sep 2022 14:29:33.000           42.223             48.733    21383.576570
                  14 Sep 2022 14:30:33.000           42.542             48.353    21408.100093
                  14 Sep 2022 14:31:33.000           42.860             47.973    21432.750744
                  14 Sep 2022 14:32:33.000           43.178             47.596    21457.526129
                  14 Sep 2022 14:33:33.000           43.496             47.219    21482.423908
                  14 Sep 2022 14:34:33.000           43.813             46.844    21507.441677
                  14 Sep 2022 14:35:33.000           44.130             46.470    21532.577139
                  14 Sep 2022 14:36:33.000           44.447             46.097    21557.827990
                  14 Sep 2022 14:37:33.000           44.763             45.725    21583.191955
                  14 Sep 2022 14:38:33.000           45.079             45.355    21608.666774
                  14 Sep 2022 14:39:33.000           45.394             44.986    21634.250219
                  14 Sep 2022 14:40:33.000           45.710             44.618    21659.940076
                  14 Sep 2022 14:41:33.000           46.025             44.252    21685.734166
                  14 Sep 2022 14:42:33.000           46.340             43.887    21711.630322
                  14 Sep 2022 14:43:33.000           46.655             43.523    21737.626411
                  14 Sep 2022 14:44:33.000           46.970             43.160    21763.720322
                  14 Sep 2022 14:45:33.000           47.284             42.798    21789.909963
                  14 Sep 2022 14:46:33.000           47.599             42.438    21816.193274
                  14 Sep 2022 14:47:33.000           47.913             42.079    21842.568216
                  14 Sep 2022 14:48:33.000           48.227             41.721    21869.032777
