                                                                          20 Feb 2023 13:52:07
Civil Air Patrol Use Only
Satellite-gps-svn56-To-Facility-Xian:  Inview Azimuth, Elevation, & Range


gps-svn56-To-Xian - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km) 
                  ------------------------    -------------    ---------------    ------------
                  14 Sep 2022 11:34:04.296          343.182            -76.914    23534.694524
                  14 Sep 2022 11:35:04.000          343.314            -76.950    23490.200939
                  14 Sep 2022 11:36:04.000          343.447            -76.988    23445.605362
                  14 Sep 2022 11:37:04.000          343.580            -77.026    23401.132481
                  14 Sep 2022 11:38:04.000          343.713            -77.065    23356.786384
                  14 Sep 2022 11:39:04.000          343.846            -77.106    23312.571159
                  14 Sep 2022 11:40:04.000          343.980            -77.147    23268.490891
                  14 Sep 2022 11:41:04.000          344.114            -77.189    23224.549662
                  14 Sep 2022 11:42:04.000          344.249            -77.231    23180.751548
                  14 Sep 2022 11:43:04.000          344.383            -77.275    23137.100622
                  14 Sep 2022 11:44:04.000          344.518            -77.320    23093.600951
                  14 Sep 2022 11:45:04.000          344.654            -77.365    23050.256597
                  14 Sep 2022 11:46:04.000          344.790            -77.412    23007.071616
                  14 Sep 2022 11:47:04.000          344.926            -77.459    22964.050054
                  14 Sep 2022 11:48:04.000          345.063            -77.507    22921.195950
                  14 Sep 2022 11:49:04.000          345.201            -77.556    22878.513338
                  14 Sep 2022 11:50:04.000          345.339            -77.606    22836.006237
                  14 Sep 2022 11:51:04.000          345.478            -77.657    22793.678661
                  14 Sep 2022 11:52:04.000          345.617            -77.709    22751.534609
                  14 Sep 2022 11:53:04.000          345.757            -77.762    22709.578073
                  14 Sep 2022 11:54:04.000          345.898            -77.815    22667.813030
                  14 Sep 2022 11:55:04.000          346.040            -77.870    22626.243445
                  14 Sep 2022 11:56:04.000          346.182            -77.925    22584.873269
                  14 Sep 2022 11:57:04.000          346.325            -77.982    22543.706440
                  14 Sep 2022 11:58:04.000          346.469            -78.039    22502.746879
                  14 Sep 2022 11:59:04.000          346.614            -78.097    22461.998492
                  14 Sep 2022 12:00:04.000          346.760            -78.156    22421.465171
                  14 Sep 2022 12:01:04.000          346.907            -78.216    22381.150787
                  14 Sep 2022 12:02:04.000          347.055            -78.277    22341.059194
                  14 Sep 2022 12:03:04.000          347.204            -78.338    22301.194229
                  14 Sep 2022 12:04:04.000          347.354            -78.401    22261.559707
                  14 Sep 2022 12:05:04.000          347.506            -78.464    22222.159424
                  14 Sep 2022 12:06:04.000          347.659            -78.528    22182.997155
                  14 Sep 2022 12:07:04.000          347.813            -78.594    22144.076652
                  14 Sep 2022 12:08:04.000          347.968            -78.660    22105.401645
                  14 Sep 2022 12:09:04.000          348.125            -78.727    22066.975841
                  14 Sep 2022 12:10:04.000          348.283            -78.794    22028.802920
                  14 Sep 2022 12:11:04.000          348.443            -78.863    21990.886540
                  14 Sep 2022 12:12:04.000          348.604            -78.933    21953.230332
                  14 Sep 2022 12:13:04.000          348.767            -79.003    21915.837900
