                                                                          11 Sep 2023 07:55:59
Civil Air Patrol Use Only
Satellite-gps-svn56-To-Facility-Xian:  Inview Azimuth, Elevation, & Range


gps-svn56-To-Xian - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km) 
                  ------------------------    -------------    ---------------    ------------
                  14 Sep 2022 12:28:06.042          351.471            -80.159    21387.785755
                  14 Sep 2022 12:28:07.000          351.474            -80.160    21387.261188
                  14 Sep 2022 12:28:08.000          351.477            -80.162    21386.713738
                  14 Sep 2022 12:28:09.000          351.480            -80.163    21386.166377
                  14 Sep 2022 12:28:10.000          351.484            -80.165    21385.619103
                  14 Sep 2022 12:28:11.000          351.487            -80.166    21385.071918
                  14 Sep 2022 12:28:12.000          351.490            -80.167    21384.524821
                  14 Sep 2022 12:28:13.000          351.494            -80.169    21383.977812
                  14 Sep 2022 12:28:14.000          351.497            -80.170    21383.430891
                  14 Sep 2022 12:28:15.000          351.500            -80.172    21382.884059
                  14 Sep 2022 12:28:16.000          351.504            -80.173    21382.337314
                  14 Sep 2022 12:28:17.000          351.507            -80.174    21381.790658
                  14 Sep 2022 12:28:18.000          351.510            -80.176    21381.244091
                  14 Sep 2022 12:28:19.000          351.514            -80.177    21380.697611
                  14 Sep 2022 12:28:20.000          351.517            -80.178    21380.151220
                  14 Sep 2022 12:28:21.000          351.520            -80.180    21379.604917
                  14 Sep 2022 12:28:22.000          351.524            -80.181    21379.058703
                  14 Sep 2022 12:28:23.000          351.527            -80.183    21378.512577
                  14 Sep 2022 12:28:24.000          351.530            -80.184    21377.966539
                  14 Sep 2022 12:28:25.000          351.534            -80.185    21377.420590
                  14 Sep 2022 12:28:26.000          351.537            -80.187    21376.874729
                  14 Sep 2022 12:28:27.000          351.540            -80.188    21376.328956
                  14 Sep 2022 12:28:28.000          351.544            -80.189    21375.783272
                  14 Sep 2022 12:28:29.000          351.547            -80.191    21375.237676
                  14 Sep 2022 12:28:30.000          351.550            -80.192    21374.692169
                  14 Sep 2022 12:28:31.000          351.554            -80.194    21374.146750
                  14 Sep 2022 12:28:32.000          351.557            -80.195    21373.601420
                  14 Sep 2022 12:28:33.000          351.560            -80.196    21373.056178
                  14 Sep 2022 12:28:34.000          351.564            -80.198    21372.511024
                  14 Sep 2022 12:28:35.000          351.567            -80.199    21371.965960
                  14 Sep 2022 12:28:36.000          351.570            -80.201    21371.420983
                  14 Sep 2022 12:28:37.000          351.574            -80.202    21370.876095
                  14 Sep 2022 12:28:38.000          351.577            -80.203    21370.331296
                  14 Sep 2022 12:28:39.000          351.580            -80.205    21369.786586
                  14 Sep 2022 12:28:40.000          351.584            -80.206    21369.241963
                  14 Sep 2022 12:28:41.000          351.587            -80.207    21368.697430
                  14 Sep 2022 12:28:42.000          351.590            -80.209    21368.152985
                  14 Sep 2022 12:28:43.000          351.594            -80.210    21367.608629
                  14 Sep 2022 12:28:44.000          351.597            -80.212    21367.064361
                  14 Sep 2022 12:28:45.000          351.601            -80.213    21366.520182
                  14 Sep 2022 12:28:46.000          351.604            -80.214    21365.976092
                  14 Sep 2022 12:28:47.000          351.607            -80.216    21365.432090
                  14 Sep 2022 12:28:48.000          351.611            -80.217    21364.888177
                  14 Sep 2022 12:28:49.000          351.614            -80.219    21364.344353
                  14 Sep 2022 12:28:50.000          351.617            -80.220    21363.800618
                  14 Sep 2022 12:28:51.000          351.621            -80.221    21363.256971
                  14 Sep 2022 12:28:52.000          351.624            -80.223    21362.713413
                  14 Sep 2022 12:28:53.000          351.627            -80.224    21362.169944
                  14 Sep 2022 12:28:54.000          351.631            -80.226    21361.626563
                  14 Sep 2022 12:28:55.000          351.634            -80.227    21361.083272
                  14 Sep 2022 12:28:56.000          351.637            -80.228    21360.540069
