                                                                          20 Feb 2023 13:54:30
Civil Air Patrol Use Only
Satellite-gps-svn56-To-Facility-Xian:  Inview Azimuth, Elevation, & Range


gps-svn56-To-Xian - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km) 
                  ------------------------    -------------    ---------------    ------------
                  14 Sep 2022 11:34:04.296          343.182            -76.914    23534.694524
                  14 Sep 2022 11:34:14.000          343.203            -76.920    23527.454693
                  14 Sep 2022 11:34:24.000          343.225            -76.926    23519.997467
                  14 Sep 2022 11:34:34.000          343.247            -76.932    23512.543460
                  14 Sep 2022 11:34:44.000          343.270            -76.938    23505.092690
                  14 Sep 2022 11:34:54.000          343.292            -76.944    23497.645177
                  14 Sep 2022 11:35:04.000          343.314            -76.950    23490.200939
                  14 Sep 2022 11:35:14.000          343.336            -76.956    23482.759996
                  14 Sep 2022 11:35:24.000          343.358            -76.963    23475.322367
                  14 Sep 2022 11:35:34.000          343.380            -76.969    23467.888070
                  14 Sep 2022 11:35:44.000          343.402            -76.975    23460.457124
                  14 Sep 2022 11:35:54.000          343.424            -76.981    23453.029549
                  14 Sep 2022 11:36:04.000          343.447            -76.988    23445.605362
                  14 Sep 2022 11:36:14.000          343.469            -76.994    23438.184585
                  14 Sep 2022 11:36:24.000          343.491            -77.000    23430.767234
                  14 Sep 2022 11:36:34.000          343.513            -77.007    23423.353329
                  14 Sep 2022 11:36:44.000          343.535            -77.013    23415.942889
                  14 Sep 2022 11:36:54.000          343.557            -77.020    23408.535934
                  14 Sep 2022 11:37:04.000          343.580            -77.026    23401.132481
                  14 Sep 2022 11:37:14.000          343.602            -77.033    23393.732550
                  14 Sep 2022 11:37:24.000          343.624            -77.039    23386.336159
                  14 Sep 2022 11:37:34.000          343.646            -77.046    23378.943329
                  14 Sep 2022 11:37:44.000          343.668            -77.052    23371.554077
                  14 Sep 2022 11:37:54.000          343.691            -77.059    23364.168422
                  14 Sep 2022 11:38:04.000          343.713            -77.065    23356.786384
                  14 Sep 2022 11:38:14.000          343.735            -77.072    23349.407981
                  14 Sep 2022 11:38:24.000          343.757            -77.079    23342.033233
                  14 Sep 2022 11:38:34.000          343.780            -77.085    23334.662157
                  14 Sep 2022 11:38:44.000          343.802            -77.092    23327.294774
                  14 Sep 2022 11:38:54.000          343.824            -77.099    23319.931102
                  14 Sep 2022 11:39:04.000          343.846            -77.106    23312.571159
                  14 Sep 2022 11:39:14.000          343.869            -77.112    23305.214966
                  14 Sep 2022 11:39:24.000          343.891            -77.119    23297.862540
                  14 Sep 2022 11:39:34.000          343.913            -77.126    23290.513901
                  14 Sep 2022 11:39:44.000          343.935            -77.133    23283.169067
                  14 Sep 2022 11:39:54.000          343.958            -77.140    23275.828058
                  14 Sep 2022 11:40:04.000          343.980            -77.147    23268.490892
                  14 Sep 2022 11:40:14.000          344.002            -77.153    23261.157588
                  14 Sep 2022 11:40:24.000          344.025            -77.160    23253.828165
                  14 Sep 2022 11:40:34.000          344.047            -77.167    23246.502642
