

                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km)
                  ------------------------    -------------    ---------------    ------------
                  14 Sep 2022 19:38:.3.010          282.693            -76.956    23637.039849
                  14 Sep 2022 19:39:22.000          282.513            -76.981    23606.850475
                  14 Sep 2022 19:40:22.000          282.328            -77.007    23576.800395
                  14 Sep 2022 19:41:22.000          282.139            -77.034    23546.899423
                  14 Sep 2022 19:42:22.000          281.944            -77.060    23517.152532
                  14 Sep 2022 19:43:22.000          281.746            -77.087    23487.564695
                  14 Sep 2022 19:44:22.000          281.542            -77.115    23458.140881
                  14 Sep 2022 19:45:22.000          281.334            -77.142    23428.886055
                  14 Sep 2022 19:46:22.000          281.121            -77.170    23399.805178
                  14 Sep 2022 19:47:22.000          280.903            -77.198    23370.903205
                  14 Sep 2022 19:48:22.000          280.680            -77.227    23342.185086
                  14 Sep 2022 19:49:22.000          280.452            -77.255    23313.655762
                  14 Sep 2022 19:50:22.000          280.220            -77.284    23285.320166
                  14 Sep 2022 19:51:22.000          279.982            -77.314    23257.183222
                  14 Sep 2022 19:52:22.000          279.739            -77.343    23229.249841
                  14 Sep 2022 19:53:22.000          279.492            -77.373    23201.524926
                  14 Sep 2022 19:54:22.000          279.239            -77.403    23174.013365
                  14 Sep 2022 19:55:22.000          278.981            -77.433    23146.720033
                  14 Sep 2022 19:56:22.000          278.718            -77.463    23119.649789
                  14 Sep 2022 19:57:22.000          278.449            -77.493    23092.807479
                  14 Sep 2022 19:58:22.000          278.176            -77.524    23066.197929
                  14 Sep 2022 19:59:22.000          277.897            -77.555    23039.825948
                  14 Sep 2022 20:00:22.000          277.613            -77.586    23013.696326
                  14 Sep 2022 20:01:22.000          277.324            -77.617    22987.813832
                  14 Sep 2022 20:02:22.000          277.029            -77.648    22962.183216
                  14 Sep 2022 20:03:22.000          276.729            -77.679    22936.809201
                  14 Sep 2022 20:04:22.000          276.423            -77.710    22911.696489
                  14 Sep 2022 20:05:22.000          276.112            -77.742    22886.849758
