Xian-To-gps-svn56 - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km) 
                  ------------------------    -------------    ---------------    ------------
                  14 Sep 2022 10:58:22.897          201.285              5.000    25174.664012
                  14 Sep 2022 10:58:32.000          201.286              5.061    25167.641603
                  14 Sep 2022 10:58:42.000          201.288              5.127    25159.926453
                  14 Sep 2022 10:58:52.000          201.290              5.194    25152.210559
                  14 Sep 2022 10:59:02.000          201.292              5.261    25144.493939
                  14 Sep 2022 10:59:12.000          201.294              5.327    25136.776611
                  14 Sep 2022 10:59:22.000          201.296              5.394    25129.058592
                  14 Sep 2022 10:59:32.000          201.298              5.461    25121.339901
                  14 Sep 2022 10:59:42.000          201.300              5.528    25113.620554
                  14 Sep 2022 10:59:52.000          201.302              5.594    25105.900569
                  14 Sep 2022 11:00:02.000          201.305              5.661    25098.179965
                  14 Sep 2022 11:00:12.000          201.307              5.728    25090.458758
                  14 Sep 2022 11:00:22.000          201.309              5.795    25082.736967
                  14 Sep 2022 11:00:32.000          201.312              5.862    25075.014609
                  14 Sep 2022 11:00:42.000          201.314              5.929    25067.291702
                  14 Sep 2022 11:00:52.000          201.317              5.996    25059.568264
                  14 Sep 2022 11:01:02.000          201.320              6.063    25051.844313
                  14 Sep 2022 11:01:12.000          201.322              6.131    25044.119866
                  14 Sep 2022 11:01:22.000          201.325              6.198    25036.394940
                  14 Sep 2022 11:01:32.000          201.328              6.265    25028.669555
                  14 Sep 2022 11:01:42.000          201.331              6.332    25020.943728
                  14 Sep 2022 11:01:52.000          201.334              6.399    25013.217476
                  14 Sep 2022 11:02:02.000          201.337              6.467    25005.490817
                  14 Sep 2022 11:02:12.000          201.340              6.534    24997.763770
                  14 Sep 2022 11:02:22.000          201.343              6.601    24990.036351
                  14 Sep 2022 11:02:32.000          201.346              6.669    24982.308580
                  14 Sep 2022 11:02:42.000          201.350              6.736    24974.580473
                  14 Sep 2022 11:02:52.000          201.353              6.804    24966.852049
                  14 Sep 2022 11:03:02.000          201.356              6.871    24959.123326
                  14 Sep 2022 11:03:12.000          201.360              6.939    24951.394321
                  14 Sep 2022 11:03:22.000          201.363              7.006    24943.665052
                  14 Sep 2022 11:03:32.000          201.367              7.074    24935.935538
                  14 Sep 2022 11:03:42.000          201.370              7.141    24928.205796
                  14 Sep 2022 11:03:52.000          201.374              7.209    24920.475844
                  14 Sep 2022 11:04:02.000          201.378              7.277    24912.745701
                  14 Sep 2022 11:04:12.000          201.382              7.345    24905.015383
                  14 Sep 2022 11:04:22.000          201.386              7.412    24897.284910
                  14 Sep 2022 11:04:32.000          201.389              7.480    24889.554299
                  14 Sep 2022 11:04:42.000          201.393              7.548    24881.823567
                  14 Sep 2022 11:04:52.000          201.398              7.616    24874.092734
                  14 Sep 2022 11:05:02.000          201.402              7.684    24866.361817
                  14 Sep 2022 11:05:12.000          201.406              7.752    24858.630834
                  14 Sep 2022 11:05:22.000          201.410              7.820    24850.899804
                  14 Sep 2022 11:05:32.000          201.414              7.888    24843.168743
                  14 Sep 2022 11:05:42.000          201.419              7.956    24835.437671
                  14 Sep 2022 11:05:52.000          201.423              8.024    24827.706605
                  14 Sep 2022 11:06:02.000          201.428              8.092    24819.975564
                  14 Sep 2022 11:06:12.000          201.432              8.160    24812.244565
                  14 Sep 2022 11:06:22.000          201.437              8.228    24804.513627
                  14 Sep 2022 11:06:32.000          201.441              8.296    24796.782768
                  14 Sep 2022 11:06:42.000          201.446              8.365    24789.052005
                  14 Sep 2022 11:06:52.000          201.451              8.433    24781.321357
                  14 Sep 2022 11:07:02.000          201.456              8.501    24773.590843
                  14 Sep 2022 11:07:12.000          201.461              8.570    24765.860479
                  14 Sep 2022 11:07:22.000          201.466              8.638    24758.130285
                  14 Sep 2022 11:07:32.000          201.471              8.706    24750.400279
                  14 Sep 2022 11:07:42.000          201.476              8.775    24742.670478
                  14 Sep 2022 11:07:52.000          201.481              8.843    24734.940902
                  14 Sep 2022 11:08:02.000          201.486              8.912    24727.211567
                  14 Sep 2022 11:08:12.000          201.491              8.980    24719.482493
                  14 Sep 2022 11:08:22.000          201.497              9.049    24711.753697
                  14 Sep 2022 11:08:32.000          201.502              9.117    24704.025198
                  14 Sep 2022 11:08:42.000          201.507              9.186    24696.297014
                  14 Sep 2022 11:08:52.000          201.513              9.255    24688.569163
                  14 Sep 2022 11:09:02.000          201.518              9.323    24680.841664
                  14 Sep 2022 11:09:12.000          201.524              9.392    24673.114534
                  14 Sep 2022 11:09:22.000          201.530              9.461    24665.387792
                  14 Sep 2022 11:09:32.000          201.536              9.530    24657.661457
                  14 Sep 2022 11:09:42.000          201.541              9.599    24649.935546
                  14 Sep 2022 11:09:52.000          201.547              9.667    24642.210077
                  14 Sep 2022 11:10:02.000          201.553              9.736    24634.485070
                  14 Sep 2022 11:10:12.000          201.559              9.805    24626.760543
                  14 Sep 2022 11:10:22.000          201.565              9.874    24619.036512
                  14 Sep 2022 11:10:32.000          201.571              9.943    24611.312999
                  14 Sep 2022 11:10:42.000          201.577             10.012    24603.590019
                  14 Sep 2022 11:10:52.000          201.584             10.081    24595.867592
                  14 Sep 2022 11:11:02.000          201.590             10.150    24588.145737
                  14 Sep 2022 11:11:12.000          201.596             10.219    24580.424470
                  14 Sep 2022 11:11:22.000          201.603             10.289    24572.703812
                  14 Sep 2022 11:11:32.000          201.609             10.358    24564.983779
                  14 Sep 2022 11:11:42.000          201.616             10.427    24557.264391
                  14 Sep 2022 11:11:52.000          201.622             10.496    24549.545666
                  14 Sep 2022 11:12:02.000          201.629             10.566    24541.827623
                  14 Sep 2022 11:12:12.000          201.636             10.635    24534.110279
                  14 Sep 2022 11:12:22.000          201.643             10.704    24526.393653
                  14 Sep 2022 11:12:32.000          201.649             10.774    24518.677764
                  14 Sep 2022 11:12:42.000          201.656             10.843    24510.962630
                  14 Sep 2022 11:12:52.000          201.663             10.912    24503.248270
                  14 Sep 2022 11:13:02.000          201.670             10.982    24495.534701
                  14 Sep 2022 11:13:12.000          201.677             11.051    24487.821942
                  14 Sep 2022 11:13:22.000          201.684             11.121    24480.110013
                  14 Sep 2022 11:13:32.000          201.692             11.191    24472.398930
                  14 Sep 2022 11:13:42.000          201.699             11.260    24464.688714
                  14 Sep 2022 11:13:52.000          201.706             11.330    24456.979381
                  14 Sep 2022 11:14:02.000          201.714             11.399    24449.270951
                  14 Sep 2022 11:14:12.000          201.721             11.469    24441.563443
                  14 Sep 2022 11:14:22.000          201.729             11.539    24433.856874
                  14 Sep 2022 11:14:32.000          201.736             11.609    24426.151264
                  14 Sep 2022 11:14:42.000          201.744             11.678    24418.446630
                  14 Sep 2022 11:14:52.000          201.751             11.748    24410.742991
                  14 Sep 2022 11:15:02.000          201.759             11.818    24403.040367
                  14 Sep 2022 11:15:12.000          201.767             11.888    24395.338774
                  14 Sep 2022 11:15:22.000          201.775             11.958    24387.638233
                  14 Sep 2022 11:15:32.000          201.783             12.028    24379.938761
                  14 Sep 2022 11:15:42.000          201.791             12.098    24372.240377
                  14 Sep 2022 11:15:52.000          201.799             12.168    24364.543099
                  14 Sep 2022 11:16:02.000          201.807             12.238    24356.846947
                  14 Sep 2022 11:16:12.000          201.815             12.308    24349.151938
                  14 Sep 2022 11:16:22.000          201.823             12.378    24341.458092
                  14 Sep 2022 11:16:32.000          201.832             12.448    24333.765426
                  14 Sep 2022 11:16:42.000          201.840             12.519    24326.073961
                  14 Sep 2022 11:16:52.000          201.849             12.589    24318.383713
                  14 Sep 2022 11:17:02.000          201.857             12.659    24310.694702
                  14 Sep 2022 11:17:12.000          201.866             12.729    24303.006946
                  14 Sep 2022 11:17:22.000          201.874             12.800    24295.320465
                  14 Sep 2022 11:17:32.000          201.883             12.870    24287.635276
                  14 Sep 2022 11:17:42.000          201.892             12.940    24279.951398
                  14 Sep 2022 11:17:52.000          201.900             13.011    24272.268850
                  14 Sep 2022 11:18:02.000          201.909             13.081    24264.587651
                  14 Sep 2022 11:18:12.000          201.918             13.152    24256.907819
                  14 Sep 2022 11:18:22.000          201.927             13.222    24249.229373
                  14 Sep 2022 11:18:32.000          201.936             13.293    24241.552331
                  14 Sep 2022 11:18:42.000          201.945             13.363    24233.876713
                  14 Sep 2022 11:18:52.000          201.954             13.434    24226.202536
                  14 Sep 2022 11:19:02.000          201.964             13.504    24218.529820
                  14 Sep 2022 11:19:12.000          201.973             13.575    24210.858583
                  14 Sep 2022 11:19:22.000          201.982             13.646    24203.188845
