gps-svn69-To-Xian - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km) 
                  ------------------------    -------------    ---------------    ------------
                  14 Sep 2022 11:42:07.679          320.491            -77.963    22731.941040
                  14 Sep 2022 11:42:08.000          320.489            -77.963    22731.830505
                  14 Sep 2022 11:42:09.000          320.481            -77.964    22731.485873
                  14 Sep 2022 11:42:10.000          320.474            -77.964    22731.141352
                  14 Sep 2022 11:42:11.000          320.466            -77.965    22730.796940
                  14 Sep 2022 11:42:12.000          320.458            -77.966    22730.452637
                  14 Sep 2022 11:42:13.000          320.451            -77.966    22730.108444
                  14 Sep 2022 11:42:14.000          320.443            -77.967    22729.764361
                  14 Sep 2022 11:42:15.000          320.435            -77.967    22729.420388
                  14 Sep 2022 11:42:16.000          320.428            -77.968    22729.076524
                  14 Sep 2022 11:42:17.000          320.420            -77.968    22728.732771
                  14 Sep 2022 11:42:18.000          320.413            -77.969    22728.389126
                  14 Sep 2022 11:42:19.000          320.405            -77.969    22728.045592
                  14 Sep 2022 11:42:20.000          320.397            -77.970    22727.702167
                  14 Sep 2022 11:42:21.000          320.390            -77.970    22727.358853
                  14 Sep 2022 11:42:22.000          320.382            -77.971    22727.015648
                  14 Sep 2022 11:42:23.000          320.374            -77.971    22726.672552
                  14 Sep 2022 11:42:24.000          320.367            -77.972    22726.329567
                  14 Sep 2022 11:42:25.000          320.359            -77.972    22725.986691
                  14 Sep 2022 11:42:26.000          320.352            -77.973    22725.643926
                  14 Sep 2022 11:42:27.000          320.344            -77.973    22725.301270
                  14 Sep 2022 11:42:28.000          320.336            -77.974    22724.958724
                  14 Sep 2022 11:42:29.000          320.329            -77.974    22724.616288
                  14 Sep 2022 11:42:30.000          320.321            -77.975    22724.273961
                  14 Sep 2022 11:42:31.000          320.313            -77.976    22723.931745
                  14 Sep 2022 11:42:32.000          320.306            -77.976    22723.589639
                  14 Sep 2022 11:42:33.000          320.298            -77.977    22723.247642
                  14 Sep 2022 11:42:34.000          320.290            -77.977    22722.905756
                  14 Sep 2022 11:42:35.000          320.283            -77.978    22722.563979
                  14 Sep 2022 11:42:36.000          320.275            -77.978    22722.222313
                  14 Sep 2022 11:42:37.000          320.268            -77.979    22721.880756
                  14 Sep 2022 11:42:38.000          320.260            -77.979    22721.539309
                  14 Sep 2022 11:42:39.000          320.252            -77.980    22721.197973
                  14 Sep 2022 11:42:40.000          320.245            -77.980    22720.856746
                  14 Sep 2022 11:42:41.000          320.237            -77.981    22720.515630
                  14 Sep 2022 11:42:42.000          320.229            -77.981    22720.174623
                  14 Sep 2022 11:42:43.000          320.222            -77.982    22719.833727
                  14 Sep 2022 11:42:44.000          320.214            -77.982    22719.492940
                  14 Sep 2022 11:42:45.000          320.206            -77.983    22719.152264
                  14 Sep 2022 11:42:46.000          320.199            -77.983    22718.811698
                  14 Sep 2022 11:42:47.000          320.191            -77.984    22718.471242
                  14 Sep 2022 11:42:48.000          320.183            -77.984    22718.130896
                  14 Sep 2022 11:42:49.000          320.176            -77.985    22717.790660
                  14 Sep 2022 11:42:50.000          320.168            -77.986    22717.450535
                  14 Sep 2022 11:42:51.000          320.160            -77.986    22717.110519
                  14 Sep 2022 11:42:52.000          320.153            -77.987    22716.770614
                  14 Sep 2022 11:42:53.000          320.145            -77.987    22716.430819
                  14 Sep 2022 11:42:54.000          320.137            -77.988    22716.091134
                  14 Sep 2022 11:42:55.000          320.130            -77.988    22715.751559
                  14 Sep 2022 11:42:56.000          320.122            -77.989    22715.412095
                  14 Sep 2022 11:42:57.000          320.114            -77.989    22715.072740
                  14 Sep 2022 11:42:58.000          320.107            -77.990    22714.733497
                  14 Sep 2022 11:42:59.000          320.099            -77.990    22714.394363
                  14 Sep 2022 11:43:00.000          320.091            -77.991    22714.055339
                  14 Sep 2022 11:43:01.000          320.084            -77.991    22713.716426
                  14 Sep 2022 11:43:02.000          320.076            -77.992    22713.377624
                  14 Sep 2022 11:43:03.000          320.068            -77.992    22713.038931
                  14 Sep 2022 11:43:04.000          320.061            -77.993    22712.700349
                  14 Sep 2022 11:43:05.000          320.053            -77.993    22712.361877
                  14 Sep 2022 11:43:06.000          320.045            -77.994    22712.023515
                  14 Sep 2022 11:43:07.000          320.038            -77.994    22711.685264
                  14 Sep 2022 11:43:08.000          320.030            -77.995    22711.347124
                  14 Sep 2022 11:43:09.000          320.022            -77.995    22711.009093
                  14 Sep 2022 11:43:10.000          320.015            -77.996    22710.671173
                  14 Sep 2022 11:43:11.000          320.007            -77.997    22710.333363
                  14 Sep 2022 11:43:12.000          319.999            -77.997    22709.995664
                  14 Sep 2022 11:43:13.000          319.991            -77.998    22709.658076
                  14 Sep 2022 11:43:14.000          319.984            -77.998    22709.320597
                  14 Sep 2022 11:43:15.000          319.976            -77.999    22708.983230
                  14 Sep 2022 11:43:16.000          319.968            -77.999    22708.645972
                  14 Sep 2022 11:43:17.000          319.961            -78.000    22708.308826
                  14 Sep 2022 11:43:18.000          319.953            -78.000    22707.971789
                  14 Sep 2022 11:43:19.000          319.945            -78.001    22707.634863
                  14 Sep 2022 11:43:20.000          319.938            -78.001    22707.298048
                  14 Sep 2022 11:43:21.000          319.930            -78.002    22706.961343
                  14 Sep 2022 11:43:22.000          319.922            -78.002    22706.624749
                  14 Sep 2022 11:43:23.000          319.915            -78.003    22706.288266
                  14 Sep 2022 11:43:24.000          319.907            -78.003    22705.951893
                  14 Sep 2022 11:43:25.000          319.899            -78.004    22705.615630
                  14 Sep 2022 11:43:26.000          319.891            -78.004    22705.279479
                  14 Sep 2022 11:43:27.000          319.884            -78.005    22704.943437
                  14 Sep 2022 11:43:28.000          319.876            -78.005    22704.607507
                  14 Sep 2022 11:43:29.000          319.868            -78.006    22704.271687
                  14 Sep 2022 11:43:30.000          319.861            -78.006    22703.935977
                  14 Sep 2022 11:43:31.000          319.853            -78.007    22703.600379
                  14 Sep 2022 11:43:32.000          319.845            -78.008    22703.264891
                  14 Sep 2022 11:43:33.000          319.837            -78.008    22702.929514
                  14 Sep 2022 11:43:34.000          319.830            -78.009    22702.594247
                  14 Sep 2022 11:43:35.000          319.822            -78.009    22702.259091
                  14 Sep 2022 11:43:36.000          319.814            -78.010    22701.924046
                  14 Sep 2022 11:43:37.000          319.807            -78.010    22701.589112
                  14 Sep 2022 11:43:38.000          319.799            -78.011    22701.254288
                  14 Sep 2022 11:43:39.000          319.791            -78.011    22700.919575
                  14 Sep 2022 11:43:40.000          319.783            -78.012    22700.584973
                  14 Sep 2022 11:43:41.000          319.776            -78.012    22700.250482
                  14 Sep 2022 11:43:42.000          319.768            -78.013    22699.916101
                  14 Sep 2022 11:43:43.000          319.760            -78.013    22699.581832
                  14 Sep 2022 11:43:44.000          319.753            -78.014    22699.247673
                  14 Sep 2022 11:43:45.000          319.745            -78.014    22698.913625
                  14 Sep 2022 11:43:46.000          319.737            -78.015    22698.579688
                  14 Sep 2022 11:43:47.000          319.729            -78.015    22698.245861
                  14 Sep 2022 11:43:48.000          319.722            -78.016    22697.912146
                  14 Sep 2022 11:43:49.000          319.714            -78.016    22697.578542
