       Time (UTCG)          gps-01_svn63 - x (km)    gps-01_svn63 - y (km)    gps-01_svn63 - z (km)
------------------------    ---------------------    ---------------------    ---------------------
14 Sep 2022 09:20:00.000             15157.494857               748.500601             21532.949091
14 Sep 2022 09:21:00.000             15208.273828               908.186543             21493.504886
14 Sep 2022 09:22:00.000             15259.545855              1067.372056             21452.374035
14 Sep 2022 09:23:00.000             15311.303743              1226.043435             21409.560168
14 Sep 2022 09:24:00.000             15363.540150              1384.187070             21365.067046
14 Sep 2022 09:25:00.000             15416.247594              1541.789459             21318.898565
14 Sep 2022 09:26:00.000             15469.418450              1698.837199             21271.058752
14 Sep 2022 09:27:00.000             15523.044953              1855.316998             21221.551767
14 Sep 2022 09:28:00.000             15577.119199              2011.215669             21170.381902
14 Sep 2022 09:29:00.000             15631.633147              2166.520138             21117.553578
14 Sep 2022 09:30:00.000             15686.578621              2321.217442             21063.071348
14 Sep 2022 09:31:00.000             15741.947309              2475.294733             21006.939897
14 Sep 2022 09:32:00.000             15797.730768              2628.739279             20949.164037
14 Sep 2022 09:33:00.000             15853.920422              2781.538467             20889.748709
14 Sep 2022 09:34:00.000             15910.507567              2933.679803             20828.698985
14 Sep 2022 09:35:00.000             15967.483370              3085.150918             20766.020063
14 Sep 2022 09:36:00.000             16024.838871              3235.939563             20701.717268
14 Sep 2022 09:37:00.000             16082.564986              3386.033618             20635.796053
14 Sep 2022 09:38:00.000             16140.652508              3535.421088             20568.261998
14 Sep 2022 09:39:00.000             16199.092109              3684.090110             20499.120806
14 Sep 2022 09:40:00.000             16257.874338              3832.028950             20428.378308
14 Sep 2022 09:41:00.000             16316.989630              3979.226009             20356.040457
14 Sep 2022 09:42:00.000             16376.428302              4125.669820             20282.113332
14 Sep 2022 09:43:00.000             16436.180556              4271.349054             20206.603133
14 Sep 2022 09:44:00.000             16496.236482              4416.252519             20129.516185
14 Sep 2022 09:45:00.000             16556.586059              4560.369164             20050.858931
14 Sep 2022 09:46:00.000             16617.219155              4703.688078             19970.637940
14 Sep 2022 09:47:00.000             16678.125534              4846.198492             19888.859899
14 Sep 2022 09:48:00.000             16739.294852              4987.889783             19805.531613
14 Sep 2022 09:49:00.000             16800.716662              5128.751473             19720.660011
14 Sep 2022 09:50:00.000             16862.380417              5268.773230             19634.252136
14 Sep 2022 09:51:00.000             16924.275469              5407.944873             19546.315151
14 Sep 2022 09:52:00.000             16986.391070              5546.256370             19456.856335
14 Sep 2022 09:53:00.000             17048.716381              5683.697839             19365.883084
14 Sep 2022 09:54:00.000             17111.240465              5820.259555             19273.402910
14 Sep 2022 09:55:00.000             17173.952294              5955.931944             19179.423438
14 Sep 2022 09:56:00.000             17236.840753              6090.705588             19083.952410
14 Sep 2022 09:57:00.000             17299.894635              6224.571226             18986.997677
14 Sep 2022 09:58:00.000             17363.102649              6357.519757             18888.567208
