    Time (UTCG)          Svn41_26605 - x (km)    Svn41_26605 - y (km)    Svn41_26605 - z (km)
19 Nov 2022 04:00:00.000            15989.600634            18011.649009            11814.799575
19 Nov 2022 04:01:00.000            15907.560611            17981.926493            11974.477762
19 Nov 2022 04:02:00.000            15824.381777            17951.934896            12133.265988
19 Nov 2022 04:03:00.000            15740.066694            17921.686138            12291.152660
19 Nov 2022 04:04:00.000            15654.618083            17891.192127            12448.126260
19 Nov 2022 04:05:00.000            15568.038826            17860.464753            12604.175338
19 Nov 2022 04:06:00.000            15480.331968            17829.515891            12759.288516
19 Nov 2022 04:07:00.000            15391.500712            17798.357397            12913.454489
19 Nov 2022 04:08:00.000            15301.548422            17767.001104            13066.662024
19 Nov 2022 04:09:00.000            15210.478622            17735.458823            13218.899965
19 Nov 2022 04:10:00.000            15118.294992            17703.742338            13370.157227
19 Nov 2022 04:11:00.000            15025.001375            17671.863408            13520.422802
19 Nov 2022 04:12:00.000            14930.601768            17639.833759            13669.685757
19 Nov 2022 04:13:00.000            14835.100330            17607.665088            13817.935237
19 Nov 2022 04:14:00.000            14738.501373            17575.369058            13965.160463
19 Nov 2022 04:15:00.000            14640.809367            17542.957294            14111.350734
19 Nov 2022 04:16:00.000            14542.028939            17510.441386            14256.495428
19 Nov 2022 04:17:00.000            14442.164871            17477.832884            14400.584001
19 Nov 2022 04:18:00.000            14341.222098            17445.143294            14543.605991
19 Nov 2022 04:19:00.000            14239.205712            17412.384082            14685.551015
19 Nov 2022 04:20:00.000            14136.120955            17379.566665            14826.408770
19 Nov 2022 04:21:00.000            14031.973225            17346.702415            14966.169038
19 Nov 2022 04:22:00.000            13926.768070            17313.802651            15104.821679
19 Nov 2022 04:23:00.000            13820.511189            17280.878645            15242.356639
19 Nov 2022 04:24:00.000            13713.208434            17247.941612            15378.763948
19 Nov 2022 04:25:00.000            13604.865803            17215.002713            15514.033717
19 Nov 2022 04:26:00.000            13495.489447            17182.073052            15648.156145
19 Nov 2022 04:27:00.000            13385.085661            17149.163672            15781.121514
19 Nov 2022 04:28:00.000            13273.660890            17116.285558            15912.920194
19 Nov 2022 04:29:00.000            13161.221725            17083.449630            16043.542638
19 Nov 2022 04:30:00.000            13047.774900            17050.666742            16172.979390
19 Nov 2022 04:31:00.000            12933.327298            17017.947684            16301.221080
19 Nov 2022 04:32:00.000            12817.885940            16985.303177            16428.258425
19 Nov 2022 04:33:00.000            12701.457995            16952.743869            16554.082233
19 Nov 2022 04:34:00.000            12584.050770            16920.280339            16678.683399
19 Nov 2022 04:35:00.000            12465.671713            16887.923091            16802.052909
19 Nov 2022 04:36:00.000            12346.328413            16855.682552            16924.181840
19 Nov 2022 04:37:00.000            12226.028596            16823.569073            17045.061358
19 Nov 2022 04:38:00.000            12104.780127            16791.592925            17164.682722
19 Nov 2022 04:39:00.000            11982.591006            16759.764299            17283.037283
19 Nov 2022 04:40:00.000            11859.469368            16728.093301            17400.116483
19 Nov 2022 04:41:00.000            11735.423482            16696.589955            17515.911858
19 Nov 2022 04:42:00.000            11610.461753            16665.264197            17630.415037
19 Nov 2022 04:43:00.000            11484.592712            16634.125875            17743.617744
19 Nov 2022 04:44:00.000            11357.825027            16603.184750            17855.511795
19 Nov 2022 04:45:00.000            11230.167490            16572.450489            17966.089105
19 Nov 2022 04:46:00.000            11101.629023            16541.932667            18075.341679
19 Nov 2022 04:47:00.000            10972.218676            16511.640765            18183.261623
19 Nov 2022 04:48:00.000            10841.945623            16481.584167            18289.841136
19 Nov 2022 04:49:00.000            10710.819162            16451.772161            18395.072516
19 Nov 2022 04:50:00.000            10578.848716            16422.213934            18498.948156
19 Nov 2022 04:51:00.000            10446.043828            16392.918574            18601.460548
19 Nov 2022 04:52:00.000            10312.414161            16363.895064            18702.602283
19 Nov 2022 04:53:00.000            10177.969497            16335.152285            18802.366049
19 Nov 2022 04:54:00.000            10042.719736            16306.699013            18900.744633
19 Nov 2022 04:55:00.000             9906.674894            16278.543917            18997.730924
19 Nov 2022 04:56:00.000             9769.845103            16250.695557            19093.317907
19 Nov 2022 04:57:00.000             9632.240604            16223.162383            19187.498670
19 Nov 2022 04:58:00.000             9493.871755            16195.952734            19280.266401
19 Nov 2022 04:59:00.000             9354.749021            16169.074838            19371.614389
19 Nov 2022 05:00:00.000             9214.882977            16142.536808            19461.536026
19 Nov 2022 05:01:00.000             9074.284304            16116.346640            19550.024802
19 Nov 2022 05:02:00.000             8932.963791            16090.512215            19637.074314
19 Nov 2022 05:03:00.000             8790.932329            16065.041297            19722.678259
19 Nov 2022 05:04:00.000             8648.200913            16039.941529            19806.830436
19 Nov 2022 05:05:00.000             8504.780639            16015.220433            19889.524751
19 Nov 2022 05:06:00.000             8360.682702            15990.885411            19970.755211
19 Nov 2022 05:07:00.000             8215.918396            15966.943740            20050.515928
19 Nov 2022 05:08:00.000             8070.499109            15943.402574            20128.801118
19 Nov 2022 05:09:00.000             7924.436326            15920.268940            20205.605103
19 Nov 2022 05:10:00.000             7777.741625            15897.549740            20280.922309
19 Nov 2022 05:11:00.000             7630.426674            15875.251747            20354.747268
19 Nov 2022 05:12:00.000             7482.503231            15853.381604            20427.074618
19 Nov 2022 05:13:00.000             7333.983143            15831.945827            20497.899104
19 Nov 2022 05:14:00.000             7184.878342            15810.950796            20567.215574
19 Nov 2022 05:15:00.000             7035.200847            15790.402763            20635.018988
19 Nov 2022 05:16:00.000             6884.962756            15770.307844            20701.304410
19 Nov 2022 05:17:00.000             6734.176251            15750.672022            20766.067011
19 Nov 2022 05:18:00.000             6582.853594            15731.501142            20829.302072
19 Nov 2022 05:19:00.000             6431.007122            15712.800916            20891.004979
19 Nov 2022 05:20:00.000             6278.649250            15694.576916            20951.171230
19 Nov 2022 05:21:00.000             6125.792466            15676.834577            21009.796429
19 Nov 2022 05:22:00.000             5972.449330            15659.579193            21066.876289
19 Nov 2022 05:23:00.000             5818.632475            15642.815920            21122.406632
19 Nov 2022 05:24:00.000             5664.354600            15626.549771            21176.383392
19 Nov 2022 05:25:00.000             5509.628470            15610.785618            21228.802610
19 Nov 2022 05:26:00.000             5354.466919            15595.528190            21279.660437
19 Nov 2022 05:27:00.000             5198.882841            15580.782073            21328.953135
19 Nov 2022 05:28:00.000             5042.889191            15566.551707            21376.677077
19 Nov 2022 05:29:00.000             4886.498985            15552.841388            21422.828744
19 Nov 2022 05:30:00.000             4729.725297            15539.655267            21467.404732
19 Nov 2022 05:31:00.000             4572.581255            15526.997347            21510.401744
19 Nov 2022 05:32:00.000             4415.080041            15514.871484            21551.816597
19 Nov 2022 05:33:00.000             4257.234890            15503.281386            21591.646217
19 Nov 2022 05:34:00.000             4099.059086            15492.230613            21629.887645
19 Nov 2022 05:35:00.000             3940.565961            15481.722575            21666.538032
19 Nov 2022 05:36:00.000             3781.768894            15471.760533            21701.594640
19 Nov 2022 05:37:00.000             3622.681307            15462.347597            21735.054846
19 Nov 2022 05:38:00.000             3463.316665            15453.486727            21766.916138
19 Nov 2022 05:39:00.000             3303.688473            15445.180730            21797.176115
19 Nov 2022 05:40:00.000             3143.810275            15437.432263            21825.832492
19 Nov 2022 05:41:00.000             2983.695650            15430.243829            21852.883096
19 Nov 2022 05:42:00.000             2823.358212            15423.617780            21878.325865
19 Nov 2022 05:43:00.000             2662.811608            15417.556312            21902.158853
19 Nov 2022 05:44:00.000             2502.069515            15412.061471            21924.380226
19 Nov 2022 05:45:00.000             2341.145639            15407.135145            21944.988265
19 Nov 2022 05:46:00.000             2180.053711            15402.779070            21963.981363
19 Nov 2022 05:47:00.000             2018.807489            15398.994828            21981.358027
19 Nov 2022 05:48:00.000             1857.420751            15395.783845            21997.116879
19 Nov 2022 05:49:00.000             1695.907296            15393.147391            22011.256656
19 Nov 2022 05:50:00.000             1534.280943            15391.086581            22023.776206
19 Nov 2022 05:51:00.000             1372.555526            15389.602376            22034.674494
19 Nov 2022 05:52:00.000             1210.744895            15388.695579            22043.950598
19 Nov 2022 05:53:00.000             1048.862910            15388.366839            22051.603712
19 Nov 2022 05:54:00.000              886.923444            15388.616646            22057.633143
19 Nov 2022 05:55:00.000              724.940377            15389.445335            22062.038314
19 Nov 2022 05:56:00.000              562.927596            15390.853087            22064.818762
19 Nov 2022 05:57:00.000              400.898992            15392.839923            22065.974139
19 Nov 2022 05:58:00.000              238.868459            15395.405710            22065.504211
19 Nov 2022 05:59:00.000               76.849891            15398.550156            22063.408860
19 Nov 2022 06:00:00.000              -85.142820            15402.272816            22059.688084
19 Nov 2022 06:01:00.000             -247.095786            15406.573085            22054.341994
19 Nov 2022 06:02:00.000             -408.995122            15411.450204            22047.370817
19 Nov 2022 06:03:00.000             -570.826954            15416.903258            22038.774894
19 Nov 2022 06:04:00.000             -732.577417            15422.931172            22028.554684
19 Nov 2022 06:05:00.000             -894.232657            15429.532721            22016.710758
19 Nov 2022 06:06:00.000            -1055.778832            15436.706519            22003.243805
19 Nov 2022 06:07:00.000            -1217.202121            15444.451027            21988.154626
19 Nov 2022 06:08:00.000            -1378.488715            15452.764549            21971.444139
19 Nov 2022 06:09:00.000            -1539.624829            15461.645236            21953.113378
19 Nov 2022 06:10:00.000            -1700.596698            15471.091082            21933.163491
19 Nov 2022 06:11:00.000            -1861.390580            15481.099927            21911.595742
19 Nov 2022 06:12:00.000            -2021.992762            15491.669457            21888.411508
19 Nov 2022 06:13:00.000            -2182.389555            15502.797205            21863.612284
19 Nov 2022 06:14:00.000            -2342.567302            15514.480547            21837.199678
19 Nov 2022 06:15:00.000            -2502.512379            15526.716710            21809.175414
19 Nov 2022 06:16:00.000            -2662.211193            15539.502766            21779.541331
19 Nov 2022 06:17:00.000            -2821.650188            15552.835634            21748.299383
19 Nov 2022 06:18:00.000            -2980.815847            15566.712083            21715.451638
19 Nov 2022 06:19:00.000            -3139.694692            15581.128731            21681.000280
19 Nov 2022 06:20:00.000            -3298.273286            15596.082042            21644.947606
19 Nov 2022 06:21:00.000            -3456.538236            15611.568333            21607.296030
19 Nov 2022 06:22:00.000            -3614.476196            15627.583770            21568.048079
19 Nov 2022 06:23:00.000            -3772.073866            15644.124370            21527.206394
19 Nov 2022 06:24:00.000            -3929.317997            15661.186002            21484.773733
19 Nov 2022 06:25:00.000            -4086.195389            15678.764386            21440.752965
19 Nov 2022 06:26:00.000            -4242.692900            15696.855097            21395.147075
19 Nov 2022 06:27:00.000            -4398.797438            15715.453561            21347.959163
19 Nov 2022 06:28:00.000            -4554.495973            15734.555060            21299.192440
19 Nov 2022 06:29:00.000            -4709.775532            15754.154730            21248.850232
19 Nov 2022 06:30:00.000            -4864.623202            15774.247565            21196.935981
19 Nov 2022 06:31:00.000            -5019.026136            15794.828413            21143.453240
19 Nov 2022 06:32:00.000            -5172.971550            15815.891981            21088.405676
19 Nov 2022 06:33:00.000            -5326.446726            15837.432834            21031.797068
19 Nov 2022 06:34:00.000            -5479.439017            15859.445395            20973.631310
19 Nov 2022 06:35:00.000            -5631.935845            15881.923950            20913.912409
19 Nov 2022 06:36:00.000            -5783.924705            15904.862642            20852.644482
19 Nov 2022 06:37:00.000            -5935.393166            15928.255479            20789.831762
19 Nov 2022 06:38:00.000            -6086.328871            15952.096330            20725.478592
19 Nov 2022 06:39:00.000            -6236.719546            15976.378931            20659.589427
19 Nov 2022 06:40:00.000            -6386.552991            16001.096878            20592.168835
19 Nov 2022 06:41:00.000            -6535.817090            16026.243638            20523.221496
19 Nov 2022 06:42:00.000            -6684.499812            16051.812542            20452.752201
19 Nov 2022 06:43:00.000            -6832.589207            16077.796788            20380.765850
19 Nov 2022 06:44:00.000            -6980.073415            16104.189448            20307.267458
19 Nov 2022 06:45:00.000            -7126.940664            16130.983459            20232.262149
19 Nov 2022 06:46:00.000            -7273.179271            16158.171633            20155.755156
19 Nov 2022 06:47:00.000            -7418.777645            16185.746652            20077.751825
19 Nov 2022 06:48:00.000            -7563.724291            16213.701075            19998.257611
19 Nov 2022 06:49:00.000            -7708.007806            16242.027334            19917.278077
19 Nov 2022 06:50:00.000            -7851.616886            16270.717736            19834.818898
19 Nov 2022 06:51:00.000            -7994.540327            16299.764470            19750.885857
19 Nov 2022 06:52:00.000            -8136.767022            16329.159599            19665.484847
19 Nov 2022 06:53:00.000            -8278.285969            16358.895070            19578.621867
19 Nov 2022 06:54:00.000            -8419.086267            16388.962708            19490.303028
19 Nov 2022 06:55:00.000            -8559.157124            16419.354225            19400.534545
