gps-svn71-To-TECHDEMOSAT-1_TDS-1_40076
--------------------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1    14 Sep 2022 04:00:00.000    14 Sep 2022 04:05:17.426           317.426
                       2    14 Sep 2022 04:37:38.484    14 Sep 2022 05:25:05.986          2847.502
                       3    14 Sep 2022 05:58:50.903    14 Sep 2022 06:48:56.161          3005.258
                       4    14 Sep 2022 07:28:00.263    14 Sep 2022 08:18:32.683          3032.420
                       5    14 Sep 2022 08:57:45.152    14 Sep 2022 09:47:35.393          2990.241
                       6    14 Sep 2022 10:21:33.592    14 Sep 2022 11:08:40.770          2827.178
                       7    14 Sep 2022 11:40:53.463    14 Sep 2022 12:30:12.609          2959.146
                       8    14 Sep 2022 13:08:46.441    14 Sep 2022 13:59:01.966          3015.525
                       9    14 Sep 2022 14:38:42.192    14 Sep 2022 15:28:38.595          2996.403
                      10    14 Sep 2022 16:03:55.658    14 Sep 2022 16:51:32.001          2856.343
                      11    14 Sep 2022 17:22:42.949    14 Sep 2022 18:11:56.399          2953.450
                      12    14 Sep 2022 18:49:28.596    14 Sep 2022 19:40:02.058          3033.462
                      13    14 Sep 2022 20:19:47.295    14 Sep 2022 21:10:09.315          3022.020
                      14    14 Sep 2022 21:46:58.859    14 Sep 2022 22:35:12.678          2893.819
                      15    14 Sep 2022 23:05:58.912    14 Sep 2022 23:54:04.914          2886.002
                      16    15 Sep 2022 00:30:29.714    15 Sep 2022 01:20:39.310          3009.596
                      17    15 Sep 2022 02:00:31.424    15 Sep 2022 02:50:46.437          3015.013
                      18    15 Sep 2022 03:28:37.899    15 Sep 2022 04:17:27.638          2929.738
                      19    15 Sep 2022 04:48:35.915    15 Sep 2022 05:36:28.391          2872.476
                      20    15 Sep 2022 06:11:24.280    15 Sep 2022 07:01:47.419          3023.139
                      21    15 Sep 2022 07:41:17.176    15 Sep 2022 08:31:52.548          3035.372
                      22    15 Sep 2022 09:10:38.112    15 Sep 2022 10:00:11.994          2973.882
                      23    15 Sep 2022 10:32:40.664    15 Sep 2022 11:19:44.511          2823.847
                      24    15 Sep 2022 11:53:01.004    15 Sep 2022 12:42:46.991          2985.987
                      25    15 Sep 2022 13:21:59.069    15 Sep 2022 14:12:20.206          3021.137
                      26    15 Sep 2022 14:51:43.530    15 Sep 2022 15:41:32.271          2988.741
                      27    15 Sep 2022 16:15:20.962    15 Sep 2022 17:02:40.281          2839.319
                      28    15 Sep 2022 17:34:28.958    15 Sep 2022 18:24:16.333          2987.375
                      29    15 Sep 2022 19:02:37.928    15 Sep 2022 19:53:17.764          3039.836
                      30    15 Sep 2022 20:32:59.308    15 Sep 2022 21:23:17.593          3018.285
                      31    15 Sep 2022 21:58:54.519    15 Sep 2022 22:46:33.382          2858.863
                      32    15 Sep 2022 23:17:12.642    16 Sep 2022 00:05:58.890          2926.248
                      33    16 Sep 2022 00:43:28.494    16 Sep 2022 01:33:48.232          3019.739
                      34    16 Sep 2022 02:13:45.998    16 Sep 2022 03:04:01.791          3015.793
                      35    16 Sep 2022 03:40:53.507    16 Sep 2022 04:29:13.667          2900.159
                      36    16 Sep 2022 04:59:34.198    16 Sep 2022 05:48:05.071          2910.873
                      37    16 Sep 2022 06:24:13.091    16 Sep 2022 07:14:49.204          3036.113
                      38    16 Sep 2022 07:54:35.911    16 Sep 2022 08:45:13.064          3037.154
                      39    16 Sep 2022 09:23:18.771    16 Sep 2022 10:12:28.196          2949.425
                      40    16 Sep 2022 10:43:32.138    16 Sep 2022 11:30:54.223          2842.086
                      41    16 Sep 2022 12:05:28.920    16 Sep 2022 12:55:35.298          3006.379
                      42    16 Sep 2022 13:35:15.667    16 Sep 2022 14:25:41.253          3025.586
                      43    16 Sep 2022 15:04:36.089    16 Sep 2022 15:54:11.320          2975.231
                      44    16 Sep 2022 16:26:23.792    16 Sep 2022 17:13:43.710          2839.918
                      45    16 Sep 2022 17:46:37.433    16 Sep 2022 18:36:51.985          3014.553
                      46    16 Sep 2022 19:15:53.479    16 Sep 2022 20:06:38.101          3044.622
                      47    16 Sep 2022 20:46:06.341    16 Sep 2022 21:36:17.111          3010.770
                      48    16 Sep 2022 22:10:24.872    16 Sep 2022 22:57:34.664          2829.792
                      49    16 Sep 2022 23:28:47.529    17 Sep 2022 00:18:11.744          2964.215
                      50    17 Sep 2022 00:56:36.611    17 Sep 2022 01:47:04.050          3027.440
                      51    17 Sep 2022 02:26:58.025    17 Sep 2022 03:17:12.415          3014.390
                      52    17 Sep 2022 03:52:46.806    17 Sep 2022 04:40:34.660          2867.854
                      53    17 Sep 2022 05:10:45.768    17 Sep 2022 05:59:59.899          2954.131
                      54    17 Sep 2022 06:37:14.348    17 Sep 2022 07:27:59.724          3045.376
                      55    17 Sep 2022 08:07:54.681    17 Sep 2022 08:58:32.251          3037.570
                      56    17 Sep 2022 09:35:42.552    17 Sep 2022 10:24:18.375          2915.823
                      57    17 Sep 2022 10:54:19.698    17 Sep 2022 11:42:18.755          2879.057
                      58    17 Sep 2022 12:18:14.222    17 Sep 2022 13:08:35.474          3021.252
