                                                                          24 Dec 2022 11:39:55
Civil Air Patrol Use Only
Facility-Xian-Sensor-Sensor1-To-Satellite-gps-svn76:  Inview Azimuth, Elevation, & Range


Sensor1-To-gps-svn76 - AER reported in the object's default AER frame
---------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km) 
                  ------------------------    -------------    ---------------    ------------
                  14 Sep 2022 07:53:10.587          282.727             38.000    22324.764903
                  14 Sep 2022 07:54:10.000          283.194             38.262    22305.520940
                  14 Sep 2022 07:55:10.000          283.668             38.527    22286.196213
                  14 Sep 2022 07:56:10.000          284.143             38.790    22266.980964
                  14 Sep 2022 07:57:10.000          284.621             39.054    22247.874788
                  14 Sep 2022 07:58:10.000          285.101             39.317    22228.877288
                  14 Sep 2022 07:59:10.000          285.582             39.580    22209.988062
                  14 Sep 2022 08:00:10.000          286.066             39.842    22191.206723
                  14 Sep 2022 08:01:10.000          286.551             40.104    22172.532881
                  14 Sep 2022 08:02:10.000          287.038             40.365    22153.966151
                  14 Sep 2022 08:03:10.000          287.528             40.626    22135.506156
                  14 Sep 2022 08:04:10.000          288.019             40.887    22117.152520
                  14 Sep 2022 08:05:10.000          288.512             41.147    22098.904883
                  14 Sep 2022 08:06:10.000          289.008             41.407    22080.762881
                  14 Sep 2022 08:07:10.000          289.505             41.666    22062.726161
                  14 Sep 2022 08:08:10.000          290.005             41.925    22044.794376
                  14 Sep 2022 08:09:10.000          290.507             42.184    22026.967186
                  14 Sep 2022 08:10:10.000          291.010             42.442    22009.244259
                  14 Sep 2022 08:11:10.000          291.516             42.700    21991.625271
                  14 Sep 2022 08:12:10.000          292.025             42.957    21974.109909
                  14 Sep 2022 08:13:10.000          292.535             43.214    21956.697861
                  14 Sep 2022 08:14:10.000          293.047             43.470    21939.388830
                  14 Sep 2022 08:15:10.000          293.562             43.726    21922.182526
                  14 Sep 2022 08:16:10.000          294.079             43.982    21905.078671
                  14 Sep 2022 08:17:10.000          294.598             44.237    21888.076996
                  14 Sep 2022 08:18:10.000          295.120             44.492    21871.177237
                  14 Sep 2022 08:19:10.000          295.644             44.747    21854.379146
                  14 Sep 2022 08:20:10.000          296.170             45.001    21837.682486
                  14 Sep 2022 08:21:10.000          296.699             45.255    21821.087025
                  14 Sep 2022 08:22:10.000          297.230             45.508    21804.592551
                  14 Sep 2022 08:23:10.000          297.764             45.761    21788.198854
                  14 Sep 2022 08:24:10.000          298.300             46.013    21771.905745
                  14 Sep 2022 08:25:10.000          298.839             46.265    21755.713039
                  14 Sep 2022 08:26:10.000          299.380             46.517    21739.620571
                  14 Sep 2022 08:27:10.000          299.924             46.768    21723.628183
                  14 Sep 2022 08:28:10.000          300.470             47.019    21707.735730
                  14 Sep 2022 08:29:10.000          301.019             47.269    21691.943085
                  14 Sep 2022 08:30:10.000          301.571             47.519    21676.250131
                  14 Sep 2022 08:31:10.000          302.125             47.769    21660.656764
                  14 Sep 2022 08:32:10.000          302.683             48.018    21645.162894
                  14 Sep 2022 08:33:10.000          303.243             48.267    21629.768451
                  14 Sep 2022 08:34:10.000          303.806             48.515    21614.473371
                  14 Sep 2022 08:35:10.000          304.372             48.763    21599.277611
                  14 Sep 2022 08:36:10.000          304.940             49.010    21584.181140
                  14 Sep 2022 08:37:10.000          305.512             49.257    21569.183942
                  14 Sep 2022 08:38:10.000          306.087             49.503    21554.286018
                  14 Sep 2022 08:39:10.000          306.665             49.749    21539.487383
                  14 Sep 2022 08:40:10.000          307.246             49.995    21524.788071
                  14 Sep 2022 08:41:10.000          307.831             50.240    21510.188127
                  14 Sep 2022 08:42:10.000          308.418             50.484    21495.687617
                  14 Sep 2022 08:43:10.000          309.009             50.728    21481.286623
                  14 Sep 2022 08:44:10.000          309.604             50.972    21466.985239
                  14 Sep 2022 08:45:10.000          310.201             51.215    21452.783580
                  14 Sep 2022 08:46:10.000          310.803             51.457    21438.681777
                  14 Sep 2022 08:47:10.000          311.407             51.699    21424.679982
                  14 Sep 2022 08:48:10.000          312.016             51.940    21410.778356
                  14 Sep 2022 08:49:10.000          312.628             52.181    21396.977084
                  14 Sep 2022 08:50:10.000          313.243             52.421    21383.276369
                  14 Sep 2022 08:51:10.000          313.863             52.661    21369.676427
                  14 Sep 2022 08:52:10.000          314.486             52.900    21356.177499
                  14 Sep 2022 08:53:10.000          315.114             53.139    21342.779835
                  14 Sep 2022 08:54:10.000          315.745             53.376    21329.483714
                  14 Sep 2022 08:55:10.000          316.380             53.614    21316.289424
                  14 Sep 2022 08:56:10.000          317.020             53.850    21303.197278
                  14 Sep 2022 08:57:10.000          317.664             54.086    21290.207605
