                                                                          15 Dec 2022 17:59:52
Civil Air Patrol Use Only
Satellite-gps-svn41-To-Facility-Xian-Sensor-Sensor1:  Inview Azimuth, Elevation, & Range


gps-svn41-To-Sensor1 - AER reported in the object's default AER frame
---------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km) 
                  ------------------------    -------------    ---------------    ------------
                  15 Sep 2022 18:37:28.582           24.100            -79.094    22188.952770
                  15 Sep 2022 18:38:28.000           24.200            -79.146    22162.352858
                  15 Sep 2022 18:39:28.000           24.300            -79.200    22135.563516
                  15 Sep 2022 18:40:28.000           24.500            -79.255    22108.847463
                  15 Sep 2022 18:41:28.000           24.700            -79.309    22082.206582
                  15 Sep 2022 18:42:28.000           25.000            -79.365    22055.642778
                  15 Sep 2022 18:43:28.000           25.300            -79.421    22029.157984
                  15 Sep 2022 18:44:28.000           25.700            -79.478    22002.754158
                  15 Sep 2022 18:45:28.000           26.100            -79.535    21976.433283
                  15 Sep 2022 18:46:28.000           26.600            -79.593    21950.197368
                  15 Sep 2022 18:47:28.000           27.100            -79.652    21924.048446
                  15 Sep 2022 18:48:28.000           28.700            -79.711    21897.988576
                  15 Sep 2022 18:49:28.000           28.300            -79.771    21872.019841
                 
