Xian-To-gps-svn41
-----------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1    14 Sep 2022 16:50:28.047    14 Sep 2022 23:40:14.459         24586.413
                       2    15 Sep 2022 16:46:20.505    15 Sep 2022 23:36:07.534         24587.029
                       3    16 Sep 2022 16:42:12.963    16 Sep 2022 23:32:00.608         24587.645
                       4    17 Sep 2022 16:38:05.421    17 Sep 2022 23:27:53.682         24588.261
                       5    18 Sep 2022 16:33:57.879    18 Sep 2022 23:23:46.756         24588.877
                       6    19 Sep 2022 16:29:50.337    19 Sep 2022 23:19:39.831         24589.493
                       7    20 Sep 2022 16:25:42.795    20 Sep 2022 23:15:32.905         24590.109
                       8    21 Sep 2022 16:21:35.253    21 Sep 2022 23:11:29.170         24593.917
                       9    22 Sep 2022 16:17:31.438    22 Sep 2022 23:07:22.280         24590.842
                      10    23 Sep 2022 16:13:23.567    23 Sep 2022 23:03:15.306         24591.740
                      11    24 Sep 2022 16:09:15.696    24 Sep 2022 22:59:08.274         24592.579
                      12    25 Sep 2022 16:05:07.960    25 Sep 2022 22:55:01.242         24593.281
                      13    26 Sep 2022 16:01:00.395    26 Sep 2022 22:50:54.308         24593.913
                      14    27 Sep 2022 15:56:53.157    27 Sep 2022 22:46:47.489         24594.332
                      15    28 Sep 2022 15:52:46.132    28 Sep 2022 22:42:40.844         24594.712
                      16    29 Sep 2022 15:48:39.347    29 Sep 2022 22:38:34.353         24595.005
                      17    30 Sep 2022 15:44:32.616    30 Sep 2022 22:34:27.966         24595.349
                      18     1 Oct 2022 15:40:25.870     1 Oct 2022 22:30:21.602         24595.731
                      19     2 Oct 2022 15:36:18.974     2 Oct 2022 22:26:15.407         24596.433
                      20     3 Oct 2022 15:32:12.256     3 Oct 2022 22:22:09.213         24596.956
                      21     4 Oct 2022 15:28:05.539     4 Oct 2022 22:18:03.018         24597.479
                      22     5 Oct 2022 15:23:58.821     5 Oct 2022 22:13:56.823         24598.002
                      23     6 Oct 2022 15:19:52.099     6 Oct 2022 22:09:50.628         24598.529
                      24     7 Oct 2022 15:15:45.386     7 Oct 2022 22:05:44.434         24599.047
                      25     8 Oct 2022 15:11:38.669     8 Oct 2022 22:01:38.239         24599.570
                      26     9 Oct 2022 15:07:31.951     9 Oct 2022 21:57:32.044         24600.093
                      27    10 Oct 2022 15:03:25.234    10 Oct 2022 21:53:25.849         24600.616
                      28    11 Oct 2022 14:59:18.516    11 Oct 2022 21:49:19.654         24601.139
                      29    12 Oct 2022 14:55:11.798    12 Oct 2022 21:45:13.460         24601.661
