gps-svn69-To-Xian - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km) 
                  ------------------------    -------------    ---------------    ------------
                  14 Sep 2022 11:09:04.968          333.419            -76.913    23611.809946
                  14 Sep 2022 11:09:05.000          333.419            -76.913    23611.792960
                  14 Sep 2022 11:09:06.000          333.414            -76.913    23611.260837
                  14 Sep 2022 11:09:07.000          333.408            -76.914    23610.728791
                  14 Sep 2022 11:09:08.000          333.403            -76.914    23610.196822
                  14 Sep 2022 11:09:09.000          333.397            -76.915    23609.664932
                  14 Sep 2022 11:09:10.000          333.392            -76.915    23609.133119
                  14 Sep 2022 11:09:11.000          333.386            -76.916    23608.601383
                  14 Sep 2022 11:09:12.000          333.381            -76.916    23608.069725
                  14 Sep 2022 11:09:13.000          333.375            -76.917    23607.538145
                  14 Sep 2022 11:09:14.000          333.370            -76.917    23607.006643
                  14 Sep 2022 11:09:15.000          333.364            -76.917    23606.475218
                  14 Sep 2022 11:09:16.000          333.359            -76.918    23605.943871
                  14 Sep 2022 11:09:17.000          333.353            -76.918    23605.412602
                  14 Sep 2022 11:09:18.000          333.348            -76.919    23604.881411
                  14 Sep 2022 11:09:19.000          333.342            -76.919    23604.350298
                  14 Sep 2022 11:09:20.000          333.337            -76.920    23603.819262
                  14 Sep 2022 11:09:21.000          333.331            -76.920    23603.288304
                  14 Sep 2022 11:09:22.000          333.326            -76.921    23602.757424
                  14 Sep 2022 11:09:23.000          333.320            -76.921    23602.226622
                  14 Sep 2022 11:09:24.000          333.315            -76.922    23601.695898
                  14 Sep 2022 11:09:25.000          333.309            -76.922    23601.165252
                  14 Sep 2022 11:09:26.000          333.304            -76.923    23600.634683
                  14 Sep 2022 11:09:27.000          333.298            -76.923    23600.104193
                  14 Sep 2022 11:09:28.000          333.293            -76.924    23599.573781
                  14 Sep 2022 11:09:29.000          333.287            -76.924    23599.043446
                  14 Sep 2022 11:09:30.000          333.282            -76.925    23598.513190
                  14 Sep 2022 11:09:31.000          333.276            -76.925    23597.983012
                  14 Sep 2022 11:09:32.000          333.271            -76.926    23597.452911
                  14 Sep 2022 11:09:33.000          333.265            -76.926    23596.922889
                  14 Sep 2022 11:09:34.000          333.259            -76.927    23596.392945
                  14 Sep 2022 11:09:35.000          333.254            -76.927    23595.863079
                  14 Sep 2022 11:09:36.000          333.248            -76.928    23595.333291
                  14 Sep 2022 11:09:37.000          333.243            -76.928    23594.803582
                  14 Sep 2022 11:09:38.000          333.237            -76.929    23594.273950
                  14 Sep 2022 11:09:39.000          333.232            -76.929    23593.744397
                  14 Sep 2022 11:09:40.000          333.226            -76.930    23593.214921
                  14 Sep 2022 11:09:41.000          333.221            -76.930    23592.685525
                  14 Sep 2022 11:09:42.000          333.215            -76.931    23592.156206
                  14 Sep 2022 11:09:43.000          333.210            -76.931    23591.626965
                  14 Sep 2022 11:09:44.000          333.204            -76.932    23591.097803
                  14 Sep 2022 11:09:45.000          333.199            -76.932    23590.568719
                  14 Sep 2022 11:09:46.000          333.193            -76.933    23590.039714
                  14 Sep 2022 11:09:47.000          333.188            -76.933    23589.510786
                  14 Sep 2022 11:09:48.000          333.182            -76.933    23588.981938
                  14 Sep 2022 11:09:49.000          333.177            -76.934    23588.453167
                  14 Sep 2022 11:09:50.000          333.171            -76.934    23587.924475
                  14 Sep 2022 11:09:51.000          333.166            -76.935    23587.395861
                  14 Sep 2022 11:09:52.000          333.160            -76.935    23586.867326
                  14 Sep 2022 11:09:53.000          333.154            -76.936    23586.338869
                  14 Sep 2022 11:09:54.000          333.149            -76.936    23585.810491
                  14 Sep 2022 11:09:55.000          333.143            -76.937    23585.282191
                  14 Sep 2022 11:09:56.000          333.138            -76.937    23584.753969
                  14 Sep 2022 11:09:57.000          333.132            -76.938    23584.225826
                  14 Sep 2022 11:09:58.000          333.127            -76.938    23583.697762
                  14 Sep 2022 11:09:59.000          333.121            -76.939    23583.169776
                  14 Sep 2022 11:10:00.000          333.116            -76.939    23582.641869
                  14 Sep 2022 11:10:01.000          333.110            -76.940    23582.114040
                  14 Sep 2022 11:10:02.000          333.105            -76.940    23581.586290
                  14 Sep 2022 11:10:03.000          333.099            -76.941    23581.058619
                  14 Sep 2022 11:10:04.000          333.094            -76.941    23580.531026
                  14 Sep 2022 11:10:05.000          333.088            -76.942    23580.003511
                  14 Sep 2022 11:10:06.000          333.082            -76.942    23579.476076
                  14 Sep 2022 11:10:07.000          333.077            -76.943    23578.948719
                  14 Sep 2022 11:10:08.000          333.071            -76.943    23578.421441
                  14 Sep 2022 11:10:09.000          333.066            -76.944    23577.894242
                  14 Sep 2022 11:10:10.000          333.060            -76.944    23577.367122
                  14 Sep 2022 11:10:11.000          333.055            -76.945    23576.840080
