gps-svn69-To-Xian - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km) 
                  ------------------------    -------------    ---------------    ------------
                  14 Sep 2022 11:09:04.968          333.419            -76.913    23611.809946
                  14 Sep 2022 11:09:14.000          333.370            -76.917    23607.006643
                  14 Sep 2022 11:09:24.000          333.315            -76.922    23601.695898
                  14 Sep 2022 11:09:34.000          333.259            -76.927    23596.392945
                  14 Sep 2022 11:09:44.000          333.204            -76.932    23591.097803
                  14 Sep 2022 11:09:54.000          333.149            -76.936    23585.810491
                  14 Sep 2022 11:10:04.000          333.094            -76.941    23580.531026
                  14 Sep 2022 11:10:14.000          333.038            -76.946    23575.259427
                  14 Sep 2022 11:10:24.000          332.982            -76.951    23569.995713
                  14 Sep 2022 11:10:34.000          332.927            -76.956    23564.739902
                  14 Sep 2022 11:10:44.000          332.871            -76.961    23559.492013
                  14 Sep 2022 11:10:54.000          332.815            -76.966    23554.252063
                  14 Sep 2022 11:11:04.000          332.759            -76.971    23549.020072
                  14 Sep 2022 11:11:14.000          332.703            -76.976    23543.796057
                  14 Sep 2022 11:11:24.000          332.647            -76.981    23538.580038
                  14 Sep 2022 11:11:34.000          332.591            -76.985    23533.372032
                  14 Sep 2022 11:11:44.000          332.534            -76.990    23528.172057
                  14 Sep 2022 11:11:54.000          332.478            -76.995    23522.980132
                  14 Sep 2022 11:12:04.000          332.421            -77.000    23517.796276
                  14 Sep 2022 11:12:14.000          332.364            -77.005    23512.620506
                  14 Sep 2022 11:12:24.000          332.308            -77.010    23507.452840
                  14 Sep 2022 11:12:34.000          332.251            -77.015    23502.293298
                  14 Sep 2022 11:12:44.000          332.194            -77.020    23497.141897
                  14 Sep 2022 11:12:54.000          332.137            -77.025    23491.998656
                  14 Sep 2022 11:13:04.000          332.080            -77.030    23486.863591
                  14 Sep 2022 11:13:14.000          332.022            -77.035    23481.736723
                  14 Sep 2022 11:13:24.000          331.965            -77.040    23476.618069
                  14 Sep 2022 11:13:34.000          331.908            -77.045    23471.507646
                  14 Sep 2022 11:13:44.000          331.850            -77.051    23466.405474
                  14 Sep 2022 11:13:54.000          331.792            -77.056    23461.311570
                  14 Sep 2022 11:14:04.000          331.735            -77.061    23456.225952
                  14 Sep 2022 11:14:14.000          331.677            -77.066    23451.148638
                  14 Sep 2022 11:14:24.000          331.619            -77.071    23446.079647
                  14 Sep 2022 11:14:34.000          331.561            -77.076    23441.018996
                  14 Sep 2022 11:14:44.000          331.503            -77.081    23435.966704
                  14 Sep 2022 11:14:54.000          331.444            -77.086    23430.922788
                  14 Sep 2022 11:15:04.000          331.386            -77.091    23425.887266
                  14 Sep 2022 11:15:14.000          331.328            -77.096    23420.860157
                  14 Sep 2022 11:15:24.000          331.269            -77.101    23415.841477
                  14 Sep 2022 11:15:34.000          331.211            -77.107    23410.831246
                  14 Sep 2022 11:15:44.000          331.152            -77.112    23405.829481
                  14 Sep 2022 11:15:54.000          331.093            -77.117    23400.836200
                  14 Sep 2022 11:16:04.000          331.034            -77.122    23395.851420
                  14 Sep 2022 11:16:14.000          330.975            -77.127    23390.875160
                  14 Sep 2022 11:16:24.000          330.916            -77.132    23385.907437
                  14 Sep 2022 11:16:34.000          330.857            -77.138    23380.948269
                  14 Sep 2022 11:16:44.000          330.797            -77.143    23375.997674
                  14 Sep 2022 11:16:54.000          330.738            -77.148    23371.055670
                  14 Sep 2022 11:17:04.000          330.678            -77.153    23366.122274
                  14 Sep 2022 11:17:14.000          330.618            -77.158    23361.197504
                  14 Sep 2022 11:17:24.000          330.559            -77.163    23356.281377
                  14 Sep 2022 11:17:34.000          330.499            -77.169    23351.373912
                  14 Sep 2022 11:17:44.000          330.439            -77.174    23346.475126
                  14 Sep 2022 11:17:54.000          330.379            -77.179    23341.585037
                  14 Sep 2022 11:18:04.000          330.319            -77.184    23336.703661
                  14 Sep 2022 11:18:14.000          330.258            -77.190    23331.831018
                  14 Sep 2022 11:18:24.000          330.198            -77.195    23326.967123
                  14 Sep 2022 11:18:34.000          330.137            -77.200    23322.111996
                  14 Sep 2022 11:18:44.000          330.077            -77.205    23317.265652
                  14 Sep 2022 11:18:54.000          330.016            -77.211    23312.428111
                  14 Sep 2022 11:19:04.000          329.955            -77.216    23307.599389
                  14 Sep 2022 11:19:14.000          329.894            -77.221    23302.779503
                  14 Sep 2022 11:19:24.000          329.833            -77.226    23297.968471
                  14 Sep 2022 11:19:34.000          329.772            -77.232    23293.166311
                  14 Sep 2022 11:19:44.000          329.711            -77.237    23288.373040
                  14 Sep 2022 11:19:54.000          329.650            -77.242    23283.588675
                  14 Sep 2022 11:20:04.000          329.588            -77.248    23278.813233
                  14 Sep 2022 11:20:14.000          329.527            -77.253    23274.046732
